pathway	bonobo	chimpanzee	gorilla	olive_baboon	orangutan	pigtailed_macaque	rhesus_macaque	squirrel_monkey	human_related_bonobo 	human_related_chimpanzee 	human_related_gorilla 	human_related_olive_baboon 	human_related_orangutan 	human_related_pigtailed_macaque 	human_related_rhesus_macaque 	human_related_squirrel_monkey 	sum
hsa04640 Hematopoietic cell lineage	0.00297187284576435	0.000746632025603333	0.00595064850341015	0.0279962575953882	0.000393533964611225	0.0392997424210041	0.254291112410092	0.00610887714285418	0.00430150537370735	0.00147294066105703	0.00152770383820932	0.00352071487021042	0.00895095765938286	0.00246739451210144	0.00221808535473773	0.00645419688469071	0.368672176062825
hsa04514 Cell adhesion molecules (CAMs)	0.000913642613966507	0.000581445208232635	0.00595064850341015	0.0255096670605108	0.000531538942443178	0.050172445682573	0.243346844982429	0.014810114632338	0.00332876529300901	0.00147294066105703	0.00233236740714236	0.00352071487021042	0.00895095765938286	0.00562116770432387	0.0049815193376126	0.00861753586969007	0.380642316428332
hsa04630 Jak-STAT signaling pathway	0.0503127765598653	0.000449679917341052	0.0153018340077657	0.0279962575953882	0.00181369966643239	0.0224603856439819	0.243346844982429	0.00849872953844047	0.00430150537370735	0.00147294066105703	0.00152770383820932	0.00352071487021042	0.00895095765938286	0.00246739451210144	0.00221808535473773	0.00645419688469071	0.401093707065741
hsa04062 Chemokine signaling pathway	0.000793120562176156	0.000449679917341052	0.00595064850341015	0.0798515542226347	0.00181369966643239	0.0452210603425188	0.263488206770769	0.00849872953844047	0.00303622920196118	0.00121473335974818	0.00233236740714236	0.00352071487021042	0.00895095765938286	0.00540115185225972	0.00882838047454156	0.00709683681494877	0.446448071163918
hsa04620 Toll-like receptor signaling pathway	0.0156351287802295	0.0048908209158814	0.0331039678666172	0.0561390119453051	0.0111779860776058	0.0224603856439819	0.243346844982429	0.00914934783914004	0.00611234316057404	0.00446227067035476	0.00935529722419293	0.0131874590975606	0.00895095765938286	0.00540115185225972	0.00882838047454156	0.0181746016705134	0.47037595586057
hsa04623 Cytosolic DNA-sensing pathway	0.0156351287802295	0.00812534727155324	0.0153018340077657	0.0402939458856925	0.00990856702635525	0.0224603856439819	0.243346844982429	0.0271418354102877	0.0160060569709437	0.00813278145604207	0.015594658144491	0.0173627744053341	0.0111244520169254	0.00614098248565386	0.00882838047454156	0.0181746016705134	0.48357857663274
hsa04621 NOD-like receptor signaling pathway	0.0156351287802295	0.0132218492667936	0.0196042458264578	0.103885060122859	0.0324352893837832	0.0224603856439819	0.277025576253283	0.00914934783914004	0.00851552123892619	0.015707703526971	0.015594658144491	0.0161536084433128	0.0399509692376424	0.0120145498949575	0.014493454508721	0.0212167275177394	0.637064075629289
hsa04622 RIG-I-like receptor signaling pathway	0.132713767604922	0.0692377132265437	0.0331039678666172	0.0561390119453051	0.0645956162627788	0.0316854063129435	0.243346844982429	0.014810114632338	0.043989310084039	0.0471238712548275	0.024162782338282	0.0263407391253828	0.0662214554558447	0.0270692056798151	0.0470478587343151	0.0540607234004272	0.981648388906811
hsa04020 Calcium signaling pathway	0.0324846606994431	0.0682194212487951	0.0331039678666172	0.222390006669873	0.0310619591745772	0.0830035028769912	0.55151698871553	0.156123113423981	0.139258645500271	0.158381147500649	0.103733808604151	0.0700990970515149	0.0730175576228315	0.0870058726675798	0.0783046354187958	0.116530034956467	2.00423441999807
hsa04672 Intestinal immune network for IgA production	0.061515652598804	0.0692377132265437	0.233000272274955	0.411597499412945	0.00181369966643239	0.367018294019683	0.277025576253283	0.0821731202505727	0.123494589599612	0.158381147500649	0.0698536758337384	0.0874656426516364	0.0854210617251638	0.0960865689356114	0.0769159813818078	0.0550816988107316	2.25608219414217
hsa04612 Antigen processing and presentation	0.0324846606994431	0.00705226670155461	0.0331039678666172	0.411597499412945	0.00458751476222824	0.621152862303947	0.957646013534953	0.154070145201147	0.0239155761215922	0.00441913301398129	0.0221756673106729	0.0309073635230113	0.0266130341597081	0.0447060528840757	0.0667155527362423	0.0675055955820366	2.50865290581416
