pathway	bonobo	chimpanzee	gorilla	olive_baboon	orangutan	pigtailed_macaque	rhesus_macaque	squirrel_monkey	human_related_bonobo 	human_related_chimpanzee 	human_related_gorilla 	human_related_olive_baboon 	human_related_orangutan 	human_related_pigtailed_macaque 	human_related_rhesus_macaque 	human_related_squirrel_monkey 	sum
hsa04630 Jak-STAT signaling pathway	0.0233127755977689	0.000597419397889768	0.0080292943886088	0.0279468650505971	0.000952845116977321	0.0231577183673516	0.152995309078543	0.00493143269007043	0.00367086281545547	0.00264009236582633	0.00115387533738422	0.00368449483409107	0.00318812615466986	0.0024085010422663	0.00362390492477174	0.00506518600451623	0.267358703166788
hsa04514 Cell adhesion molecules (CAMs)	0.000485237229921477	0.00106598670922028	0.00437331485802419	0.0187990894211011	0.00386891402435202	0.0853763091922952	0.152995309078543	0.00826218321667583	0.00306806177088656	0.00148313268880525	0.00359874341895968	0.00368449483409107	0.00318812615466986	0.00613550084556741	0.00739006590191412	0.010198876824677	0.313973346169704
hsa04640 Hematopoietic cell lineage	0.00447489307352394	0.000957432015904303	0.00454927174310447	0.0279468650505971	4.59447612929439e-05	0.0608175579188836	0.207418853739244	0.00302489218775725	0.00367086281545547	0.00332148087527067	0.00115387533738422	0.00368449483409107	0.00318812615466986	0.0024085010422663	0.00489185512652304	0.00506518600451623	0.336620092680485
hsa04620 Toll-like receptor signaling pathway	0.0114886644340135	0.00403391658840766	0.020867158686321	0.0466135573730209	0.00807426926952132	0.0231577183673516	0.152995309078543	0.0088938237379185	0.00593830590858858	0.00468092521889704	0.00974972865644761	0.00978201759839519	0.007508841852661	0.00551703976203446	0.00945990902003863	0.0156114326775668	0.344372618229727
hsa04623 Cytosolic DNA-sensing pathway	0.0121322727226392	0.00547630307913102	0.00908506104658449	0.0279468650505971	0.00807426926952132	0.0231577183673516	0.152995309078543	0.0331006254718018	0.0178741867168772	0.00975583661136895	0.0169781342408512	0.0138664373191435	0.0112683337053215	0.00613550084556741	0.0097509121030097	0.0156114326775668	0.373209198305876
hsa04062 Chemokine signaling pathway	0.000485237229921477	0.000349609216509921	0.00437331485802419	0.0466135573730209	0.00384782940586655	0.0715385175262513	0.27513601595351	0.00826218321667583	0.00286771121279309	0.00148313268880525	0.00327454077090185	0.00373471101375066	0.007508841852661	0.00551703976203446	0.00858999272869526	0.00640708660815489	0.449989321417576
hsa04621 NOD-like receptor signaling pathway	0.0147889717785296	0.0137680359094239	0.0154506600996448	0.0861497463243483	0.0210530320382918	0.0231577183673516	0.239502695872135	0.00924811724187453	0.00796440588907439	0.0180706916718712	0.0141563486323511	0.0138664373191435	0.0408958389676857	0.00984716880956174	0.0134654004952461	0.0228577009275868	0.56424297034412
hsa04622 RIG-I-like receptor signaling pathway	0.0847968468205479	0.0618245827139976	0.0348000819360715	0.0466135573730209	0.050732114080827	0.0249003611526407	0.152995309078543	0.016499575919669	0.0413175718138681	0.0521998968835161	0.0217415547677094	0.0188530180262375	0.0527563568917826	0.0265917390850445	0.0439617617176148	0.0426471384372591	0.77323146669835
hsa04020 Calcium signaling pathway	0.014997088349945	0.0366210620310801	0.0154506600996448	0.30739548951786	0.0128188160855211	0.128785561826163	0.351649518756529	0.25152265153254	0.143705746274471	0.13351157898965	0.102553823615078	0.0772531732323731	0.0755149865000313	0.0909110119574127	0.115805258864189	0.137906177826162	1.99640260545865
hsa04612 Antigen processing and presentation	0.0260042751254071	0.00547630307913102	0.032830821189741	0.144884462294516	0.00807426926952132	0.56896012032789	0.956791261386075	0.134807787699803	0.0227257943249751	0.00422188627909181	0.0217415547677094	0.0257657618199484	0.0227261636484215	0.0507585193592703	0.0875592474727873	0.0622394551973548	2.17556768324164
