"","X","SYMBOL","padj_species","padj_human","variable","value","L1"
"1","ENSG00000004468","CD38","","sig","human_related_squirrel_monkey ",10.9022914593833,"squirrel_monkey"
"2","ENSG00000174808","BTC","","sig","human_related_squirrel_monkey ",8.69408976487897,"squirrel_monkey"
"3","ENSG00000180616","SSTR2","","ns","human_related_squirrel_monkey ",7.59222560405867,"squirrel_monkey"
"4","ENSG00000136689","IL1RN","","sig","human_related_squirrel_monkey ",7.37379389951664,"squirrel_monkey"
"5","ENSG00000177989","ODF3B","","ns","human_related_squirrel_monkey ",7.0234741213569,"squirrel_monkey"
"6","ENSG00000156219","ART3","","sig","human_related_squirrel_monkey ",6.97898773231637,"squirrel_monkey"
"7","ENSG00000100342","APOL1","","sig","human_related_squirrel_monkey ",6.96544089198469,"squirrel_monkey"
"8","ENSG00000134716","CYP2J2","","ns","human_related_squirrel_monkey ",6.16856058026444,"squirrel_monkey"
"9","ENSG00000163347","CLDN1","","sig","human_related_squirrel_monkey ",5.61418684460246,"squirrel_monkey"
"10","ENSG00000171714","ANO5","","sig","human_related_squirrel_monkey ",5.5225542849501,"squirrel_monkey"
"11","ENSG00000111837","MAK","","sig","human_related_squirrel_monkey ",5.39301059860676,"squirrel_monkey"
"12","ENSG00000197142","ACSL5","","sig","human_related_squirrel_monkey ",5.20952553766485,"squirrel_monkey"
"13","ENSG00000103313","MEFV","","ns","human_related_squirrel_monkey ",4.79855198615705,"squirrel_monkey"
"14","ENSG00000135077","HAVCR2","","sig","human_related_squirrel_monkey ",4.79535142004256,"squirrel_monkey"
"15","ENSG00000168309","FAM107A","","ns","human_related_squirrel_monkey ",3.99926024340847,"squirrel_monkey"
"16","ENSG00000105963","ADAP1","","ns","human_related_squirrel_monkey ",3.83620770388388,"squirrel_monkey"
"17","ENSG00000147485","PXDNL","","ns","human_related_squirrel_monkey ",3.49332715025643,"squirrel_monkey"
"18","ENSG00000111452","ADGRD1","","sig","human_related_squirrel_monkey ",2.77142339290563,"squirrel_monkey"
"19","ENSG00000162687","KCNT2","","sig","human_related_squirrel_monkey ",2.75742783329335,"squirrel_monkey"
