"","X","SYMBOL","padj_species","padj_human","variable","value","L1"
"1","ENSG00000155629","PIK3AP1","","sig","human_related_bonobo ",9.46007000062841,"bonobo"
"2","ENSG00000168334","XIRP1","","ns","human_related_bonobo ",6.18097277772904,"bonobo"
"3","ENSG00000084628","NKAIN1","","sig","human_related_bonobo ",6.04908075084883,"bonobo"
"4","ENSG00000141668","CBLN2","","ns","human_related_bonobo ",4.62719490938005,"bonobo"
"5","ENSG00000243232","PCDHAC2","","ns","human_related_bonobo ",4.26508760907474,"bonobo"
"6","ENSG00000118113","MMP8","","ns","human_related_bonobo ",4.2264386174838,"bonobo"
"7","ENSG00000167105","TMEM92","","ns","human_related_bonobo ",3.44927048817426,"bonobo"
"8","ENSG00000155629","PIK3AP1","sig","","bonobo",4.71874558723136,"bonobo"
"9","ENSG00000168334","XIRP1","sig","","bonobo",-0.126813993071184,"bonobo"
"10","ENSG00000084628","NKAIN1","sig","","bonobo",1.63099006832022,"bonobo"
"11","ENSG00000141668","CBLN2","sig","","bonobo",0.0853738481999949,"bonobo"
"12","ENSG00000243232","PCDHAC2","sig","","bonobo",-1.06727235901388,"bonobo"
"13","ENSG00000118113","MMP8","sig","","bonobo",1.18276228048873,"bonobo"
"14","ENSG00000167105","TMEM92","sig","","bonobo",0.0759591573588185,"bonobo"
"15","ENSG00000155629","PIK3AP1","","ns","human_related_orangutan ",9.45803614870268,"orangutan"
"16","ENSG00000084628","NKAIN1","","ns","human_related_orangutan ",6.25471484703764,"orangutan"
"17","ENSG00000168334","XIRP1","","ns","human_related_orangutan ",6.20848002436719,"orangutan"
"18","ENSG00000141668","CBLN2","","ns","human_related_orangutan ",4.85502585691974,"orangutan"
"19","ENSG00000243232","PCDHAC2","","ns","human_related_orangutan ",4.26540044860184,"orangutan"
"20","ENSG00000118113","MMP8","","sig","human_related_orangutan ",4.1908665357848,"orangutan"
"21","ENSG00000167105","TMEM92","","sig","human_related_orangutan ",3.47487201169696,"orangutan"
"22","ENSG00000155629","PIK3AP1","sig","","orangutan",0.487427604401394,"orangutan"
"23","ENSG00000084628","NKAIN1","sig","","orangutan",-1.51403500051705,"orangutan"
"24","ENSG00000168334","XIRP1","sig","","orangutan",1.20302916390378,"orangutan"
"25","ENSG00000141668","CBLN2","sig","","orangutan",-0.151595801371753,"orangutan"
"26","ENSG00000243232","PCDHAC2","sig","","orangutan",-0.943025967593361,"orangutan"
"27","ENSG00000118113","MMP8","sig","","orangutan",-2.47448378951142,"orangutan"
"28","ENSG00000167105","TMEM92","sig","","orangutan",-2.19100496856987,"orangutan"
"29","ENSG00000155629","PIK3AP1","","sig","human_related_chimpanzee ",9.45016750429395,"chimpanzee"
"30","ENSG00000168334","XIRP1","","ns","human_related_chimpanzee ",6.19590342015571,"chimpanzee"
"31","ENSG00000084628","NKAIN1","","sig","human_related_chimpanzee ",6.06324937312969,"chimpanzee"
