"","X","SYMBOL","padj_species","padj_human","variable","value","L1"
"1","ENSG00000130303","BST2","sig","sig","human_related_bonobo ",9.17492472130341,"bonobo"
"2","ENSG00000115009","CCL20","sig","sig","human_related_bonobo ",6.14813090135654,"bonobo"
"3","ENSG00000134470","IL15RA","sig","sig","human_related_bonobo ",4.92510470311265,"bonobo"
"4","ENSG00000130487","KLHDC7B","sig","sig","human_related_bonobo ",4.22464561918521,"bonobo"
"5","ENSG00000275302","CCL4","sig","ns","human_related_bonobo ",3.73975771754133,"bonobo"
"6","ENSG00000178882","RFLNA","sig","ns","human_related_bonobo ",2.78987148841593,"bonobo"
"7","ENSG00000178826","TMEM139","sig","sig","human_related_bonobo ",2.68069758059765,"bonobo"
"8","ENSG00000163293","NIPAL1","sig","sig","human_related_bonobo ",2.49192570565619,"bonobo"
"9","ENSG00000087250","MT3","sig","sig","human_related_bonobo ",2.45502335828519,"bonobo"
"10","ENSG00000164199","ADGRV1","sig","sig","human_related_bonobo ",2.41759208013091,"bonobo"
"11","ENSG00000185046","ANKS1B","sig","ns","human_related_bonobo ",2.29171329230465,"bonobo"
"12","ENSG00000186197","EDARADD","sig","sig","human_related_bonobo ",2.00221624527542,"bonobo"
"13","ENSG00000204103","MAFB","sig","sig","human_related_bonobo ",1.90962246880381,"bonobo"
"14","ENSG00000079263","SP140","ns","sig","human_related_bonobo ",1.86047232815394,"bonobo"
"15","ENSG00000169715","MT1E","sig","sig","human_related_bonobo ",1.84115839072224,"bonobo"
"16","ENSG00000003989","SLC7A2","sig","sig","human_related_bonobo ",1.70669133411147,"bonobo"
"17","ENSG00000198624","CCDC69","sig","sig","human_related_bonobo ",1.64531818613372,"bonobo"
"18","ENSG00000173890","GPR160","ns","sig","human_related_bonobo ",1.59309734269442,"bonobo"
"19","ENSG00000070601","FRMPD1","ns","sig","human_related_bonobo ",1.53873739782023,"bonobo"
"20","ENSG00000162595","DIRAS3","sig","sig","human_related_bonobo ",1.39081129862176,"bonobo"
"21","ENSG00000168959","GRM5","ns","sig","human_related_bonobo ",1.25605636186469,"bonobo"
"22","ENSG00000163017","ACTG2","sig","sig","human_related_bonobo ",1.23262357391947,"bonobo"
"23","ENSG00000169508","GPR183","sig","sig","human_related_bonobo ",1.21778038714897,"bonobo"
"24","ENSG00000124731","TREM1","ns","sig","human_related_bonobo ",1.17255627637857,"bonobo"
"25","ENSG00000135205","CCDC146","sig","sig","human_related_bonobo ",1.17168445987353,"bonobo"
"26","ENSG00000106278","PTPRZ1","ns","sig","human_related_bonobo ",0.890217765203732,"bonobo"
"27","ENSG00000099282","TSPAN15","ns","sig","human_related_bonobo ",0.853575547093836,"bonobo"
"28","ENSG00000171729","TMEM51","sig","sig","human_related_bonobo ",0.762688688291804,"bonobo"
"29","ENSG00000129167","TPH1","ns","sig","human_related_bonobo ",0.576668348216577,"bonobo"
"30","ENSG00000178235","SLITRK1","ns","sig","human_related_bonobo ",0.535589136195575,"bonobo"
"31","ENSG00000229676","ZNF492","ns","sig","human_related_bonobo ",0.425946843339422,"bonobo"
"32","ENSG00000170439","METTL7B","ns","sig","human_related_bonobo ",0.390209574026793,"bonobo"
"33","ENSG00000189143","CLDN4","ns","sig","human_related_bonobo ",0.382331930495056,"bonobo"
"34","ENSG00000252561","RNU1-125P","ns","sig","human_related_bonobo ",0.249031601533968,"bonobo"
"35","ENSG00000115523","GNLY","ns","sig","human_related_bonobo ",0.249030633480736,"bonobo"
"36","ENSG00000243509","TNFRSF6B","ns","sig","human_related_bonobo ",0.249026319600288,"bonobo"
"37","ENSG00000213689","TREX1","ns","sig","human_related_bonobo ",0.249026133251752,"bonobo"
"38","ENSG00000165072","MAMDC2","ns","sig","human_related_bonobo ",0.214117037976527,"bonobo"
"39","ENSG00000172179","PRL","ns","sig","human_related_bonobo ",0.201005456313752,"bonobo"
"40","ENSG00000171724","VAT1L","ns","sig","human_related_bonobo ",0.162119379513416,"bonobo"
"41","ENSG00000134115","CNTN6","ns","sig","human_related_bonobo ",0.152685903901499,"bonobo"
"42","ENSG00000215788","TNFRSF25","ns","sig","human_related_bonobo ",-0.00590093922506251,"bonobo"
"43","ENSG00000196189","SEMA4A","ns","sig","human_related_bonobo ",-0.0572955161037044,"bonobo"
"44","ENSG00000184845","DRD1","ns","sig","human_related_bonobo ",-0.073745772024966,"bonobo"
"45","ENSG00000151136","BTBD11","ns","sig","human_related_bonobo ",-0.223097356879494,"bonobo"
"46","ENSG00000105711","SCN1B","ns","sig","human_related_bonobo ",-0.257446553378996,"bonobo"
"47","ENSG00000139194","RBP5","ns","sig","human_related_bonobo ",-0.361678627710318,"bonobo"
"48","ENSG00000154118","JPH3","ns","sig","human_related_bonobo ",-0.392161151917051,"bonobo"
"49","ENSG00000105855","ITGB8","ns","sig","human_related_bonobo ",-0.422540538098573,"bonobo"
"50","ENSG00000170458","CD14","ns","sig","human_related_bonobo ",-0.493602178678955,"bonobo"
"51","ENSG00000164251","F2RL1","ns","sig","human_related_bonobo ",-0.501087390983678,"bonobo"
"52","ENSG00000183778","B3GALT5","ns","sig","human_related_bonobo ",-0.71576625204695,"bonobo"
"53","ENSG00000148935","GAS2","ns","sig","human_related_bonobo ",-0.734874997170422,"bonobo"
"54","ENSG00000102760","RGCC","ns","sig","human_related_bonobo ",-0.764115954806587,"bonobo"
"55","ENSG00000149970","CNKSR2","ns","sig","human_related_bonobo ",-0.830863661293158,"bonobo"
"56","ENSG00000135678","CPM","sig","sig","human_related_bonobo ",-0.876978071681563,"bonobo"
"57","ENSG00000172137","CALB2","ns","sig","human_related_bonobo ",-0.928260473421254,"bonobo"
"58","ENSG00000046889","PREX2","sig","sig","human_related_bonobo ",-0.99138118551032,"bonobo"
"59","ENSG00000123977","DAW1","ns","sig","human_related_bonobo ",-1.00250068369132,"bonobo"
"60","ENSG00000204991","SPIRE2","sig","sig","human_related_bonobo ",-1.14230447090252,"bonobo"
"61","ENSG00000133392","MYH11","sig","sig","human_related_bonobo ",-1.50909479701994,"bonobo"
"62","ENSG00000179242","CDH4","sig","ns","human_related_bonobo ",-1.5598488338509,"bonobo"
"63","ENSG00000155657","TTN","ns","sig","human_related_bonobo ",-1.65847618929639,"bonobo"
"64","ENSG00000106031","HOXA13","sig","sig","human_related_bonobo ",-1.95311933294686,"bonobo"
"65","ENSG00000197580","BCO2","sig","ns","human_related_bonobo ",-2.67941338411326,"bonobo"
"66","ENSG00000130303","BST2","sig","sig","bonobo",4.92695795472189,"bonobo"
"67","ENSG00000115009","CCL20","sig","sig","bonobo",10.3571948649974,"bonobo"
"68","ENSG00000134470","IL15RA","sig","sig","bonobo",8.27309413158323,"bonobo"
"69","ENSG00000130487","KLHDC7B","sig","sig","bonobo",-2.55041900162309,"bonobo"
"70","ENSG00000275302","CCL4","sig","ns","bonobo",0.436581614789852,"bonobo"
"71","ENSG00000178882","RFLNA","sig","ns","bonobo",-0.334198375482773,"bonobo"
"72","ENSG00000178826","TMEM139","sig","sig","bonobo",6.79247701055319,"bonobo"
"73","ENSG00000163293","NIPAL1","sig","sig","bonobo",-0.981955179790682,"bonobo"
"74","ENSG00000087250","MT3","sig","sig","bonobo",5.98819031939166,"bonobo"
"75","ENSG00000164199","ADGRV1","sig","sig","bonobo",7.48513157073177,"bonobo"
"76","ENSG00000185046","ANKS1B","sig","ns","bonobo",-0.790626377491964,"bonobo"
"77","ENSG00000186197","EDARADD","sig","sig","bonobo",5.01103448214946,"bonobo"
"78","ENSG00000204103","MAFB","sig","sig","bonobo",-1.44031507849948,"bonobo"
"79","ENSG00000079263","SP140","ns","sig","bonobo",5.5676720450841,"bonobo"
"80","ENSG00000169715","MT1E","sig","sig","bonobo",5.34934903520718,"bonobo"
"81","ENSG00000003989","SLC7A2","sig","sig","bonobo",5.35875235973641,"bonobo"
"82","ENSG00000198624","CCDC69","sig","sig","bonobo",-2.43139002734475,"bonobo"
"83","ENSG00000173890","GPR160","ns","sig","bonobo",5.38832206207504,"bonobo"
"84","ENSG00000070601","FRMPD1","ns","sig","bonobo",-2.28445458898238,"bonobo"
"85","ENSG00000162595","DIRAS3","sig","sig","bonobo",6.53895751658744,"bonobo"
"86","ENSG00000168959","GRM5","ns","sig","bonobo",-2.43746109085401,"bonobo"
"87","ENSG00000163017","ACTG2","sig","sig","bonobo",-2.22873938522109,"bonobo"
"88","ENSG00000169508","GPR183","sig","sig","bonobo",4.99106134399875,"bonobo"
"89","ENSG00000124731","TREM1","ns","sig","bonobo",6.57503914528129,"bonobo"
"90","ENSG00000135205","CCDC146","sig","sig","bonobo",4.19494694224472,"bonobo"
"91","ENSG00000106278","PTPRZ1","ns","sig","bonobo",-2.44142518677679,"bonobo"
"92","ENSG00000099282","TSPAN15","ns","sig","bonobo",-2.65580971028607,"bonobo"
"93","ENSG00000171729","TMEM51","sig","sig","bonobo",4.35709333901559,"bonobo"
"94","ENSG00000129167","TPH1","ns","sig","bonobo",-3.6465285762344,"bonobo"
"95","ENSG00000178235","SLITRK1","ns","sig","bonobo",-4.54723675261856,"bonobo"
"96","ENSG00000229676","ZNF492","ns","sig","bonobo",-2.74634612059848,"bonobo"
"97","ENSG00000170439","METTL7B","ns","sig","bonobo",-4.4099236208326,"bonobo"
"98","ENSG00000189143","CLDN4","ns","sig","bonobo",3.6853490188769,"bonobo"
"99","ENSG00000252561","RNU1-125P","ns","sig","bonobo",6.06443552557321,"bonobo"
"100","ENSG00000115523","GNLY","ns","sig","bonobo",4.32678104529219,"bonobo"
"101","ENSG00000243509","TNFRSF6B","ns","sig","bonobo",3.37921685284617,"bonobo"
"102","ENSG00000213689","TREX1","ns","sig","bonobo",3.34569780081646,"bonobo"
"103","ENSG00000165072","MAMDC2","ns","sig","bonobo",-3.04911544121718,"bonobo"
"104","ENSG00000172179","PRL","ns","sig","bonobo",3.52632299979388,"bonobo"
"105","ENSG00000171724","VAT1L","ns","sig","bonobo",3.49878306529412,"bonobo"
"106","ENSG00000134115","CNTN6","ns","sig","bonobo",4.61255086806594,"bonobo"
"107","ENSG00000215788","TNFRSF25","ns","sig","bonobo",-3.15845827844019,"bonobo"
"108","ENSG00000196189","SEMA4A","ns","sig","bonobo",3.6615550431192,"bonobo"
"109","ENSG00000184845","DRD1","ns","sig","bonobo",-4.37522602267949,"bonobo"
"110","ENSG00000151136","BTBD11","ns","sig","bonobo",4.22669382066754,"bonobo"
"111","ENSG00000105711","SCN1B","ns","sig","bonobo",2.96819908694668,"bonobo"
"112","ENSG00000139194","RBP5","ns","sig","bonobo",5.19579540622763,"bonobo"
"113","ENSG00000154118","JPH3","ns","sig","bonobo",4.85544764822648,"bonobo"
"114","ENSG00000105855","ITGB8","ns","sig","bonobo",3.83411945231298,"bonobo"
"115","ENSG00000170458","CD14","ns","sig","bonobo",2.59287874154826,"bonobo"
"116","ENSG00000164251","F2RL1","ns","sig","bonobo",-4.6054880247485,"bonobo"
"117","ENSG00000183778","B3GALT5","ns","sig","bonobo",3.07650847525428,"bonobo"
"118","ENSG00000148935","GAS2","ns","sig","bonobo",2.71372949172063,"bonobo"
"119","ENSG00000102760","RGCC","ns","sig","bonobo",-3.95483116417401,"bonobo"
"120","ENSG00000149970","CNKSR2","ns","sig","bonobo",-3.92114260137786,"bonobo"
"121","ENSG00000135678","CPM","sig","sig","bonobo",3.65352044518683,"bonobo"
"122","ENSG00000172137","CALB2","ns","sig","bonobo",3.27495036988769,"bonobo"
"123","ENSG00000046889","PREX2","sig","sig","bonobo",3.04661608565463,"bonobo"
"124","ENSG00000123977","DAW1","ns","sig","bonobo",3.21577661098415,"bonobo"
"125","ENSG00000204991","SPIRE2","sig","sig","bonobo",2.34921427312426,"bonobo"
"126","ENSG00000133392","MYH11","sig","sig","bonobo",-4.54422522103779,"bonobo"
"127","ENSG00000179242","CDH4","sig","ns","bonobo",1.54844127595655,"bonobo"
"128","ENSG00000155657","TTN","ns","sig","bonobo",4.04326761441756,"bonobo"
"129","ENSG00000106031","HOXA13","sig","sig","bonobo",1.86192563874602,"bonobo"
"130","ENSG00000197580","BCO2","sig","ns","bonobo",1.17390228065907,"bonobo"
"131","ENSG00000089127","OAS1","sig","sig","human_related_orangutan ",10.2464978866995,"orangutan"
"132","ENSG00000177294","FBXO39","sig","sig","human_related_orangutan ",7.23720145317216,"orangutan"
"133","ENSG00000133106","EPSTI1","sig","sig","human_related_orangutan ",6.87178055668776,"orangutan"
"134","ENSG00000164342","TLR3","sig","sig","human_related_orangutan ",6.66551234535111,"orangutan"
"135","ENSG00000205045","SLFN12L","sig","sig","human_related_orangutan ",6.53101220304669,"orangutan"
"136","ENSG00000128203","ASPHD2","sig","sig","human_related_orangutan ",3.98935852967524,"orangutan"
"137","ENSG00000134962","KLB","sig","ns","human_related_orangutan ",3.82307063216145,"orangutan"
