"","X","SYMBOL","padj_species","padj_human","variable","value","L1"
"1","ENSG00000137198","GMPR","","sig","human_related_rhesus_macaque ",5.54691624797526,"rhesus_macaque"
"2","ENSG00000115919","KYNU","","sig","human_related_rhesus_macaque ",4.74040722081824,"rhesus_macaque"
"3","ENSG00000162711","NLRP3","","ns","human_related_rhesus_macaque ",4.6030450474455,"rhesus_macaque"
"4","ENSG00000163235","TGFA","","ns","human_related_rhesus_macaque ",4.20881996109239,"rhesus_macaque"
"5","ENSG00000149633","KIAA1755","","ns","human_related_rhesus_macaque ",4.17640826128759,"rhesus_macaque"
"6","ENSG00000172156","CCL11","","ns","human_related_rhesus_macaque ",4.14331556337725,"rhesus_macaque"
"7","ENSG00000235750","KIAA0040","","ns","human_related_rhesus_macaque ",4.05643428295919,"rhesus_macaque"
"8","ENSG00000101842","VSIG1","","sig","human_related_rhesus_macaque ",3.56717624718004,"rhesus_macaque"
"9","ENSG00000164283","ESM1","","ns","human_related_rhesus_macaque ",3.53718454804487,"rhesus_macaque"
"10","ENSG00000163644","PPM1K","","ns","human_related_rhesus_macaque ",3.52986246659851,"rhesus_macaque"
"11","ENSG00000170542","SERPINB9","","ns","human_related_rhesus_macaque ",3.42276352326233,"rhesus_macaque"
"12","ENSG00000105639","JAK3","","sig","human_related_rhesus_macaque ",3.09334615959459,"rhesus_macaque"
"13","ENSG00000003147","ICA1","","ns","human_related_rhesus_macaque ",2.85289765145079,"rhesus_macaque"
"14","ENSG00000134028","ADAMDEC1","","ns","human_related_rhesus_macaque ",1.65196227616732,"rhesus_macaque"
"15","ENSG00000234465","PINLYP","","ns","human_related_rhesus_macaque ",1.40375872399312,"rhesus_macaque"
"16","ENSG00000078053","AMPH","","sig","human_related_rhesus_macaque ",0.0644650671542839,"rhesus_macaque"
"17","ENSG00000117425","PTCH2","","sig","human_related_rhesus_macaque ",-0.642958148039149,"rhesus_macaque"
"18","ENSG00000105227","PRX","","sig","human_related_rhesus_macaque ",-1.48778429265014,"rhesus_macaque"
"19","ENSG00000203727","SAMD5","","ns","human_related_rhesus_macaque ",-2.56882967130456,"rhesus_macaque"
"20","ENSG00000155966","AFF2","","ns","human_related_rhesus_macaque ",-3.45253062000616,"rhesus_macaque"
"21","ENSG00000101463","SYNDIG1","","ns","human_related_rhesus_macaque ",-3.77461562959735,"rhesus_macaque"
"22","ENSG00000137198","GMPR","sig","","rhesus_macaque",0.36948267809826,"rhesus_macaque"
"23","ENSG00000115919","KYNU","sig","","rhesus_macaque",0.861813190382302,"rhesus_macaque"
"24","ENSG00000162711","NLRP3","sig","","rhesus_macaque",1.05236340783878,"rhesus_macaque"
"25","ENSG00000163235","TGFA","sig","","rhesus_macaque",0.859235933486607,"rhesus_macaque"
"26","ENSG00000149633","KIAA1755","sig","","rhesus_macaque",-0.459970087447251,"rhesus_macaque"
"27","ENSG00000172156","CCL11","sig","","rhesus_macaque",0.28969859344875,"rhesus_macaque"
"28","ENSG00000235750","KIAA0040","sig","","rhesus_macaque",0.197931444071997,"rhesus_macaque"
"29","ENSG00000101842","VSIG1","sig","","rhesus_macaque",-0.492581818655104,"rhesus_macaque"
"30","ENSG00000164283","ESM1","sig","","rhesus_macaque",0.432392851091432,"rhesus_macaque"
"31","ENSG00000163644","PPM1K","sig","","rhesus_macaque",0.132339615663729,"rhesus_macaque"
"32","ENSG00000170542","SERPINB9","sig","","rhesus_macaque",0.109968797846896,"rhesus_macaque"
"33","ENSG00000105639","JAK3","sig","","rhesus_macaque",-1.2765409177835,"rhesus_macaque"
"34","ENSG00000003147","ICA1","sig","","rhesus_macaque",-0.408634543209245,"rhesus_macaque"
"35","ENSG00000134028","ADAMDEC1","ns","","rhesus_macaque",-2.02791458044466,"rhesus_macaque"
"36","ENSG00000234465","PINLYP","sig","","rhesus_macaque",-1.68743084788301,"rhesus_macaque"
"37","ENSG00000078053","AMPH","ns","","rhesus_macaque",4.67476208795222,"rhesus_macaque"
"38","ENSG00000117425","PTCH2","ns","","rhesus_macaque",3.17499300654609,"rhesus_macaque"
"39","ENSG00000105227","PRX","sig","","rhesus_macaque",1.58743224726702,"rhesus_macaque"
"40","ENSG00000203727","SAMD5","sig","","rhesus_macaque",0.514684015441571,"rhesus_macaque"
"41","ENSG00000155966","AFF2","sig","","rhesus_macaque",0.218536570198272,"rhesus_macaque"
"42","ENSG00000101463","SYNDIG1","sig","","rhesus_macaque",-0.280624974012666,"rhesus_macaque"
"43","ENSG00000137198","GMPR","","sig","human_related_pigtailed_macaque ",5.53652011006545,"pigtailed_macaque"
"44","ENSG00000115919","KYNU","","sig","human_related_pigtailed_macaque ",4.67404654100327,"pigtailed_macaque"
"45","ENSG00000162711","NLRP3","","ns","human_related_pigtailed_macaque ",4.60989686073073,"pigtailed_macaque"
"46","ENSG00000163235","TGFA","","ns","human_related_pigtailed_macaque ",4.19811005006723,"pigtailed_macaque"
"47","ENSG00000235750","KIAA0040","","ns","human_related_pigtailed_macaque ",4.16643227624882,"pigtailed_macaque"
