"","X","SYMBOL","padj_species","padj_human","variable","value","L1"
"1","ENSG00000004468","CD38","","sig","human_related_squirrel_monkey ",10.9057121508049,"squirrel_monkey"
"2","ENSG00000174808","BTC","","sig","human_related_squirrel_monkey ",8.69523100533787,"squirrel_monkey"
"3","ENSG00000180616","SSTR2","","ns","human_related_squirrel_monkey ",7.62552218148572,"squirrel_monkey"
"4","ENSG00000136689","IL1RN","","sig","human_related_squirrel_monkey ",7.37539946118822,"squirrel_monkey"
"5","ENSG00000177989","ODF3B","","ns","human_related_squirrel_monkey ",7.02620836504612,"squirrel_monkey"
"6","ENSG00000156219","ART3","","sig","human_related_squirrel_monkey ",6.9822307083765,"squirrel_monkey"
"7","ENSG00000134716","CYP2J2","","ns","human_related_squirrel_monkey ",6.17171764123047,"squirrel_monkey"
"8","ENSG00000163347","CLDN1","","sig","human_related_squirrel_monkey ",5.6223132849904,"squirrel_monkey"
"9","ENSG00000171714","ANO5","","sig","human_related_squirrel_monkey ",5.52692859041127,"squirrel_monkey"
"10","ENSG00000111837","MAK","","sig","human_related_squirrel_monkey ",5.3915152711956,"squirrel_monkey"
"11","ENSG00000197142","ACSL5","","sig","human_related_squirrel_monkey ",5.21531858142368,"squirrel_monkey"
"12","ENSG00000103313","MEFV","","ns","human_related_squirrel_monkey ",4.79444137119851,"squirrel_monkey"
"13","ENSG00000243232","PCDHAC2","","ns","human_related_squirrel_monkey ",4.31071829543887,"squirrel_monkey"
"14","ENSG00000168309","FAM107A","","ns","human_related_squirrel_monkey ",4.02875649353805,"squirrel_monkey"
"15","ENSG00000165923","AGBL2","","sig","human_related_squirrel_monkey ",3.71258075684377,"squirrel_monkey"
"16","ENSG00000147485","PXDNL","","ns","human_related_squirrel_monkey ",3.49352052624819,"squirrel_monkey"
"17","ENSG00000111452","ADGRD1","","sig","human_related_squirrel_monkey ",2.77449172360293,"squirrel_monkey"
"18","ENSG00000162687","KCNT2","","sig","human_related_squirrel_monkey ",2.76079802287566,"squirrel_monkey"
"19","ENSG00000111816","FRK","","sig","human_related_squirrel_monkey ",1.68079468543502,"squirrel_monkey"
"20","ENSG00000100298","APOBEC3H","","sig","human_related_squirrel_monkey ",0.600683471629273,"squirrel_monkey"
"21","ENSG00000162630","B3GALT2","","sig","human_related_squirrel_monkey ",-1.83925637517367,"squirrel_monkey"
"22","ENSG00000004468","CD38","sig","","squirrel_monkey",3.28519787944626,"squirrel_monkey"
"23","ENSG00000174808","BTC","sig","","squirrel_monkey",3.98839705052821,"squirrel_monkey"
"24","ENSG00000180616","SSTR2","sig","","squirrel_monkey",0.159489704786946,"squirrel_monkey"
"25","ENSG00000136689","IL1RN","sig","","squirrel_monkey",3.39266374041578,"squirrel_monkey"
"26","ENSG00000177989","ODF3B","sig","","squirrel_monkey",0.252062869856953,"squirrel_monkey"
"27","ENSG00000156219","ART3","sig","","squirrel_monkey",2.8358777432585,"squirrel_monkey"
"28","ENSG00000134716","CYP2J2","sig","","squirrel_monkey",-0.138991475961768,"squirrel_monkey"
"29","ENSG00000163347","CLDN1","sig","","squirrel_monkey",1.76847083078776,"squirrel_monkey"
"30","ENSG00000171714","ANO5","sig","","squirrel_monkey",1.52894640489746,"squirrel_monkey"
"31","ENSG00000111837","MAK","sig","","squirrel_monkey",1.15614505642532,"squirrel_monkey"
"32","ENSG00000197142","ACSL5","sig","","squirrel_monkey",1.92441706291645,"squirrel_monkey"
"33","ENSG00000103313","MEFV","sig","","squirrel_monkey",0.583812749278837,"squirrel_monkey"
"34","ENSG00000243232","PCDHAC2","sig","","squirrel_monkey",-0.377713446380133,"squirrel_monkey"
"35","ENSG00000168309","FAM107A","sig","","squirrel_monkey",0.62556164786879,"squirrel_monkey"
"36","ENSG00000165923","AGBL2","sig","","squirrel_monkey",0.61893896501315,"squirrel_monkey"
"37","ENSG00000147485","PXDNL","sig","","squirrel_monkey",-0.170875881451803,"squirrel_monkey"
"38","ENSG00000111452","ADGRD1","sig","","squirrel_monkey",-1.64247244442748,"squirrel_monkey"
"39","ENSG00000162687","KCNT2","sig","","squirrel_monkey",-0.831142137677115,"squirrel_monkey"
"40","ENSG00000111816","FRK","sig","","squirrel_monkey",-1.47783220875499,"squirrel_monkey"
"41","ENSG00000100298","APOBEC3H","ns","","squirrel_monkey",5.78123667590502,"squirrel_monkey"
"42","ENSG00000162630","B3GALT2","sig","","squirrel_monkey",2.06383376856081,"squirrel_monkey"
"43","ENSG00000004468","CD38","","sig","human_related_rhesus_macaque ",10.9175004235526,"rhesus_macaque"
"44","ENSG00000174808","BTC","","sig","human_related_rhesus_macaque ",8.69772013676357,"rhesus_macaque"
"45","ENSG00000180616","SSTR2","","ns","human_related_rhesus_macaque ",7.61127959653857,"rhesus_macaque"
"46","ENSG00000136689","IL1RN","","sig","human_related_rhesus_macaque ",7.33978776398748,"rhesus_macaque"
"47","ENSG00000177989","ODF3B","","sig","human_related_rhesus_macaque ",7.00454768625863,"rhesus_macaque"
"48","ENSG00000156219","ART3","","ns","human_related_rhesus_macaque ",6.98576170117745,"rhesus_macaque"
"49","ENSG00000134716","CYP2J2","","sig","human_related_rhesus_macaque ",6.18286774777638,"rhesus_macaque"
"50","ENSG00000163347","CLDN1","","ns","human_related_rhesus_macaque ",5.83594466889723,"rhesus_macaque"
"51","ENSG00000171714","ANO5","","ns","human_related_rhesus_macaque ",5.60994572620575,"rhesus_macaque"
"52","ENSG00000111837","MAK","","ns","human_related_rhesus_macaque ",5.32923015885725,"rhesus_macaque"
"53","ENSG00000197142","ACSL5","","sig","human_related_rhesus_macaque ",5.22635272913874,"rhesus_macaque"
"54","ENSG00000103313","MEFV","","ns","human_related_rhesus_macaque ",4.76060862412835,"rhesus_macaque"
"55","ENSG00000243232","PCDHAC2","","ns","human_related_rhesus_macaque ",4.29303518392334,"rhesus_macaque"
"56","ENSG00000168309","FAM107A","","ns","human_related_rhesus_macaque ",4.22291395002123,"rhesus_macaque"
"57","ENSG00000165923","AGBL2","","ns","human_related_rhesus_macaque ",3.75765154364486,"rhesus_macaque"
"58","ENSG00000147485","PXDNL","","ns","human_related_rhesus_macaque ",3.50567434866766,"rhesus_macaque"
"59","ENSG00000111452","ADGRD1","","sig","human_related_rhesus_macaque ",2.78153976362632,"rhesus_macaque"
"60","ENSG00000162687","KCNT2","","ns","human_related_rhesus_macaque ",2.76544231700089,"rhesus_macaque"
"61","ENSG00000111816","FRK","","ns","human_related_rhesus_macaque ",1.70266123822184,"rhesus_macaque"
"62","ENSG00000100298","APOBEC3H","","sig","human_related_rhesus_macaque ",0.603590468959145,"rhesus_macaque"
"63","ENSG00000162630","B3GALT2","","ns","human_related_rhesus_macaque ",-1.99097506439206,"rhesus_macaque"
"64","ENSG00000004468","CD38","sig","","rhesus_macaque",2.59199442196257,"rhesus_macaque"
"65","ENSG00000174808","BTC","sig","","rhesus_macaque",1.97194895495918,"rhesus_macaque"
"66","ENSG00000180616","SSTR2","sig","","rhesus_macaque",1.43426185696833,"rhesus_macaque"
"67","ENSG00000136689","IL1RN","sig","","rhesus_macaque",1.66845513012753,"rhesus_macaque"
"68","ENSG00000177989","ODF3B","sig","","rhesus_macaque",1.96224361016132,"rhesus_macaque"
"69","ENSG00000156219","ART3","sig","","rhesus_macaque",1.8593180030608,"rhesus_macaque"
"70","ENSG00000134716","CYP2J2","sig","","rhesus_macaque",1.75753306095532,"rhesus_macaque"
"71","ENSG00000163347","CLDN1","sig","","rhesus_macaque",0.77920733028957,"rhesus_macaque"
"72","ENSG00000171714","ANO5","sig","","rhesus_macaque",-0.203869319230812,"rhesus_macaque"
"73","ENSG00000111837","MAK","sig","","rhesus_macaque",0.00666414511826549,"rhesus_macaque"
"74","ENSG00000197142","ACSL5","sig","","rhesus_macaque",1.07205891342814,"rhesus_macaque"
"75","ENSG00000103313","MEFV","sig","","rhesus_macaque",0.177529326406225,"rhesus_macaque"
"76","ENSG00000243232","PCDHAC2","sig","","rhesus_macaque",-0.192476825374033,"rhesus_macaque"
"77","ENSG00000168309","FAM107A","sig","","rhesus_macaque",-1.11464098019399,"rhesus_macaque"
"78","ENSG00000165923","AGBL2","sig","","rhesus_macaque",0.690479035941617,"rhesus_macaque"
"79","ENSG00000147485","PXDNL","sig","","rhesus_macaque",-1.38969989017459,"rhesus_macaque"
"80","ENSG00000111452","ADGRD1","sig","","rhesus_macaque",-1.94520326626925,"rhesus_macaque"
"81","ENSG00000162687","KCNT2","sig","","rhesus_macaque",-0.388296780577729,"rhesus_macaque"
"82","ENSG00000111816","FRK","sig","","rhesus_macaque",-1.44225360622808,"rhesus_macaque"
"83","ENSG00000100298","APOBEC3H","ns","","rhesus_macaque",4.2724262985239,"rhesus_macaque"
"84","ENSG00000162630","B3GALT2","sig","","rhesus_macaque",1.95192176676592,"rhesus_macaque"
"85","ENSG00000004468","CD38","","sig","human_related_pigtailed_macaque ",10.9042647710912,"pigtailed_macaque"
"86","ENSG00000174808","BTC","","sig","human_related_pigtailed_macaque ",8.68771904781917,"pigtailed_macaque"
"87","ENSG00000180616","SSTR2","","ns","human_related_pigtailed_macaque ",7.59218085649243,"pigtailed_macaque"
"88","ENSG00000136689","IL1RN","","sig","human_related_pigtailed_macaque ",7.35308214648213,"pigtailed_macaque"
"89","ENSG00000177989","ODF3B","","sig","human_related_pigtailed_macaque ",7.05299825842055,"pigtailed_macaque"
"90","ENSG00000156219","ART3","","ns","human_related_pigtailed_macaque ",6.97465282235015,"pigtailed_macaque"
"91","ENSG00000134716","CYP2J2","","sig","human_related_pigtailed_macaque ",6.16424083538226,"pigtailed_macaque"
"92","ENSG00000163347","CLDN1","","sig","human_related_pigtailed_macaque ",5.66783709864397,"pigtailed_macaque"
"93","ENSG00000171714","ANO5","","ns","human_related_pigtailed_macaque ",5.57593913529116,"pigtailed_macaque"
"94","ENSG00000111837","MAK","","ns","human_related_pigtailed_macaque ",5.38201123581341,"pigtailed_macaque"
"95","ENSG00000197142","ACSL5","","sig","human_related_pigtailed_macaque ",5.23720984609663,"pigtailed_macaque"
"96","ENSG00000103313","MEFV","","ns","human_related_pigtailed_macaque ",4.76395999727596,"pigtailed_macaque"
"97","ENSG00000243232","PCDHAC2","","ns","human_related_pigtailed_macaque ",4.26720169588131,"pigtailed_macaque"
"98","ENSG00000168309","FAM107A","","ns","human_related_pigtailed_macaque ",4.17933475074982,"pigtailed_macaque"
"99","ENSG00000165923","AGBL2","","ns","human_related_pigtailed_macaque ",3.75589039157352,"pigtailed_macaque"
"100","ENSG00000147485","PXDNL","","sig","human_related_pigtailed_macaque ",3.52587671335794,"pigtailed_macaque"
"101","ENSG00000111452","ADGRD1","","sig","human_related_pigtailed_macaque ",2.76706324077681,"pigtailed_macaque"
