"","X","SYMBOL","padj_species","padj_human","variable","value","L1"
"1","ENSG00000155629","PIK3AP1","","sig","human_related_bonobo ",9.46847697925292,"bonobo"
"2","ENSG00000168334","XIRP1","","ns","human_related_bonobo ",6.18718058240752,"bonobo"
"3","ENSG00000084628","NKAIN1","","sig","human_related_bonobo ",6.05617761222404,"bonobo"
"4","ENSG00000175946","KLHL38","","ns","human_related_bonobo ",5.83237194697304,"bonobo"
"5","ENSG00000141668","CBLN2","","ns","human_related_bonobo ",4.61648461561664,"bonobo"
"6","ENSG00000118113","MMP8","","ns","human_related_bonobo ",4.24342957626954,"bonobo"
"7","ENSG00000167105","TMEM92","","ns","human_related_bonobo ",3.45250387560887,"bonobo"
"8","ENSG00000155629","PIK3AP1","sig","","bonobo",4.7260258828429,"bonobo"
"9","ENSG00000168334","XIRP1","sig","","bonobo",-0.34408053663418,"bonobo"
"10","ENSG00000084628","NKAIN1","sig","","bonobo",1.65531407456159,"bonobo"
"11","ENSG00000175946","KLHL38","sig","","bonobo",0.145672969624012,"bonobo"
"12","ENSG00000141668","CBLN2","sig","","bonobo",0.098493731632119,"bonobo"
"13","ENSG00000118113","MMP8","sig","","bonobo",0.973876956089327,"bonobo"
"14","ENSG00000167105","TMEM92","sig","","bonobo",0.0352036928721827,"bonobo"
"15","ENSG00000155629","PIK3AP1","","sig","human_related_orangutan ",9.46143549431597,"orangutan"
"16","ENSG00000084628","NKAIN1","","ns","human_related_orangutan ",6.25199239472973,"orangutan"
"17","ENSG00000168334","XIRP1","","ns","human_related_orangutan ",6.20753340389613,"orangutan"
"18","ENSG00000175946","KLHL38","","ns","human_related_orangutan ",5.85368467389324,"orangutan"
"19","ENSG00000141668","CBLN2","","ns","human_related_orangutan ",4.8332481508463,"orangutan"
"20","ENSG00000118113","MMP8","","ns","human_related_orangutan ",4.18240184341071,"orangutan"
"21","ENSG00000167105","TMEM92","","sig","human_related_orangutan ",3.54795028875082,"orangutan"
"22","ENSG00000155629","PIK3AP1","sig","","orangutan",1.0147311271299,"orangutan"
"23","ENSG00000084628","NKAIN1","sig","","orangutan",-1.51341529357742,"orangutan"
"24","ENSG00000168334","XIRP1","sig","","orangutan",1.20703534721297,"orangutan"
"25","ENSG00000175946","KLHL38","sig","","orangutan",-0.357165884172824,"orangutan"
"26","ENSG00000141668","CBLN2","sig","","orangutan",-0.163884481034691,"orangutan"
"27","ENSG00000118113","MMP8","sig","","orangutan",-0.982478599039833,"orangutan"
"28","ENSG00000167105","TMEM92","sig","","orangutan",-2.34700119513812,"orangutan"
"29","ENSG00000155629","PIK3AP1","","sig","human_related_chimpanzee ",9.46057105377498,"chimpanzee"
"30","ENSG00000168334","XIRP1","","ns","human_related_chimpanzee ",6.2061206809779,"chimpanzee"
"31","ENSG00000084628","NKAIN1","","sig","human_related_chimpanzee ",6.07534442143318,"chimpanzee"
"32","ENSG00000175946","KLHL38","","ns","human_related_chimpanzee ",5.85227101471546,"chimpanzee"
"33","ENSG00000141668","CBLN2","","ns","human_related_chimpanzee ",4.42088440010128,"chimpanzee"
"34","ENSG00000118113","MMP8","","ns","human_related_chimpanzee ",4.30131980512402,"chimpanzee"
"35","ENSG00000167105","TMEM92","","ns","human_related_chimpanzee ",3.34941211112398,"chimpanzee"
"36","ENSG00000155629","PIK3AP1","sig","","chimpanzee",1.84099829950852,"chimpanzee"
"37","ENSG00000168334","XIRP1","sig","","chimpanzee",0.592538172200007,"chimpanzee"
"38","ENSG00000084628","NKAIN1","sig","","chimpanzee",0.934891455602374,"chimpanzee"
"39","ENSG00000175946","KLHL38","sig","","chimpanzee",0.383888848452688,"chimpanzee"
"40","ENSG00000141668","CBLN2","sig","","chimpanzee",-1.00908167696641,"chimpanzee"
"41","ENSG00000118113","MMP8","sig","","chimpanzee",1.09201750682668,"chimpanzee"
"42","ENSG00000167105","TMEM92","sig","","chimpanzee",-0.396263524064226,"chimpanzee"
"43","ENSG00000155629","PIK3AP1","","sig","human_related_gorilla ",9.46321187549857,"gorilla"
"44","ENSG00000168334","XIRP1","","ns","human_related_gorilla ",6.21230697624563,"gorilla"
"45","ENSG00000084628","NKAIN1","","sig","human_related_gorilla ",6.15023090053124,"gorilla"
"46","ENSG00000175946","KLHL38","","ns","human_related_gorilla ",5.86087957163096,"gorilla"
"47","ENSG00000141668","CBLN2","","ns","human_related_gorilla ",5.10175475454154,"gorilla"
