"","X","SYMBOL","padj_species","padj_human","variable","value","L1"
"1","ENSG00000115009","CCL20","","sig","human_related_bonobo ",6.15695047003863,"bonobo"
"2","ENSG00000050344","NFE2L3","","sig","human_related_bonobo ",5.08590803699296,"bonobo"
"3","ENSG00000124875","CXCL6","","sig","human_related_bonobo ",4.86295186809275,"bonobo"
"4","ENSG00000205358","MT1H","","sig","human_related_bonobo ",1.0594404479658,"bonobo"
"5","ENSG00000164199","ADGRV1","","sig","human_related_bonobo ",2.42618170269856,"bonobo"
"6","ENSG00000056291","NPFFR2","","sig","human_related_bonobo ",3.02102995945301,"bonobo"
"7","ENSG00000198417","MT1F","","sig","human_related_bonobo ",4.04494577093654,"bonobo"
"8","ENSG00000178826","TMEM139","","sig","human_related_bonobo ",2.68894513107867,"bonobo"
"9","ENSG00000124731","TREM1","","sig","human_related_bonobo ",1.17916000680082,"bonobo"
"10","ENSG00000162595","DIRAS3","","sig","human_related_bonobo ",1.3956608520702,"bonobo"
"11","ENSG00000166523","CLEC4E","","sig","human_related_bonobo ",1.47716254293037,"bonobo"
"12","ENSG00000166592","RRAD","","sig","human_related_bonobo ",2.93300682770398,"bonobo"
"13","ENSG00000139194","RBP5","","sig","human_related_bonobo ",-0.352878483257818,"bonobo"
"14","ENSG00000182329","KIAA2012","","sig","human_related_bonobo ",0.578169788768444,"bonobo"
"15","ENSG00000169715","MT1E","","sig","human_related_bonobo ",1.84641667613732,"bonobo"
"16","ENSG00000173890","GPR160","","sig","human_related_bonobo ",1.58999670057378,"bonobo"
"17","ENSG00000124469","CEACAM8","","sig","human_related_bonobo ",-0.389746183691016,"bonobo"
"18","ENSG00000187193","MT1X","","sig","human_related_bonobo ",1.66697566343607,"bonobo"
"19","ENSG00000130303","BST2","","sig","human_related_bonobo ",9.1872356911986,"bonobo"
"20","ENSG00000154118","JPH3","","sig","human_related_bonobo ",-0.38468811708275,"bonobo"
"21","ENSG00000003989","SLC7A2","","sig","human_related_bonobo ",1.70545770448307,"bonobo"
"22","ENSG00000134115","CNTN6","","sig","human_related_bonobo ",0.156585825548823,"bonobo"
"23","ENSG00000115523","GNLY","","sig","human_related_bonobo ",0.256503739566573,"bonobo"
"24","ENSG00000163737","PF4","","sig","human_related_bonobo ",1.17845218150374,"bonobo"
"25","ENSG00000151136","BTBD11","","sig","human_related_bonobo ",-0.216262401030884,"bonobo"
"26","ENSG00000135205","CCDC146","","sig","human_related_bonobo ",1.18224253154081,"bonobo"
"27","ENSG00000171729","TMEM51","","sig","human_related_bonobo ",0.766814742447439,"bonobo"
"28","ENSG00000105855","ITGB8","","sig","human_related_bonobo ",-0.411292730211923,"bonobo"
"29","ENSG00000135678","CPM","","sig","human_related_bonobo ",-0.868244842847579,"bonobo"
"30","ENSG00000171724","VAT1L","","sig","human_related_bonobo ",0.166394312226548,"bonobo"
"31","ENSG00000172179","PRL","","sig","human_related_bonobo ",0.210710497772852,"bonobo"
"32","ENSG00000196189","SEMA4A","","sig","human_related_bonobo ",-0.0595616193582456,"bonobo"
