"","X","SYMBOL","padj_species","padj_human","variable","value","L1"
"1","ENSG00000204642","HLA-F","","sig","human_related_rhesus_macaque ",6.09565053617433,"rhesus_macaque"
"2","ENSG00000137198","GMPR","","sig","human_related_rhesus_macaque ",5.54970156978608,"rhesus_macaque"
"3","ENSG00000115919","KYNU","","sig","human_related_rhesus_macaque ",4.74116501866646,"rhesus_macaque"
"4","ENSG00000179583","CIITA","","ns","human_related_rhesus_macaque ",4.6548712147516,"rhesus_macaque"
"5","ENSG00000162711","NLRP3","","ns","human_related_rhesus_macaque ",4.64417545857661,"rhesus_macaque"
"6","ENSG00000188582","PAQR9","","sig","human_related_rhesus_macaque ",4.50257093470973,"rhesus_macaque"
"7","ENSG00000163235","TGFA","","ns","human_related_rhesus_macaque ",4.21378709418716,"rhesus_macaque"
"8","ENSG00000172156","CCL11","","ns","human_related_rhesus_macaque ",4.14584043537115,"rhesus_macaque"
"9","ENSG00000235750","KIAA0040","","ns","human_related_rhesus_macaque ",4.06608600982279,"rhesus_macaque"
"10","ENSG00000149633","KIAA1755","","ns","human_related_rhesus_macaque ",4.05916881244001,"rhesus_macaque"
"11","ENSG00000101842","VSIG1","","sig","human_related_rhesus_macaque ",3.57045131041733,"rhesus_macaque"
"12","ENSG00000163644","PPM1K","","ns","human_related_rhesus_macaque ",3.53461031607094,"rhesus_macaque"
"13","ENSG00000170542","SERPINB9","","ns","human_related_rhesus_macaque ",3.43254045988473,"rhesus_macaque"
"14","ENSG00000105639","JAK3","","sig","human_related_rhesus_macaque ",3.08549978917016,"rhesus_macaque"
"15","ENSG00000003147","ICA1","","ns","human_related_rhesus_macaque ",2.85637561107699,"rhesus_macaque"
"16","ENSG00000134028","ADAMDEC1","","ns","human_related_rhesus_macaque ",1.67585646907273,"rhesus_macaque"
"17","ENSG00000078053","AMPH","","sig","human_related_rhesus_macaque ",0.0681154362411042,"rhesus_macaque"
"18","ENSG00000117425","PTCH2","","sig","human_related_rhesus_macaque ",-0.641176334489725,"rhesus_macaque"
"19","ENSG00000105227","PRX","","sig","human_related_rhesus_macaque ",-1.48740347103437,"rhesus_macaque"
"20","ENSG00000226174","TEX22","","ns","human_related_rhesus_macaque ",-2.99991580187346,"rhesus_macaque"
"21","ENSG00000155966","AFF2","","ns","human_related_rhesus_macaque ",-3.44614296532562,"rhesus_macaque"
"22","ENSG00000157470","FAM81A","","ns","human_related_rhesus_macaque ",-3.72761516415306,"rhesus_macaque"
"23","ENSG00000101463","SYNDIG1","","ns","human_related_rhesus_macaque ",-3.7283968860728,"rhesus_macaque"
