"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"1","ENSG00000119917",6.29236295065221,0,"IFIT3",6.27596338128801,0,"IFIT3","not","sig","IFIT3"
"2","ENSG00000119922",7.52365926337476,0,"IFIT2",7.50867543743886,0,"IFIT2","not","sig","IFIT2"
"3","ENSG00000121858",8.62522471742424,0,"TNFSF10",8.62896551645111,0,"TNFSF10","not","sig","TNFSF10"
"4","ENSG00000125347",3.57651500246217,0,"IRF1",3.59533848672214,0,"IRF1","not","sig","IRF1"
"5","ENSG00000131203",8.6748929907888,0,"IDO1",8.67490113802057,0,"IDO1","not","sig","IDO1"
"6","ENSG00000134321",7.68789769528818,0,"RSAD2",7.67077236646332,0,"RSAD2","not","sig","RSAD2"
"7","ENSG00000138642",7.31765195387924,0,"HERC6",7.32964061310034,0,"HERC6","not","sig","HERC6"
"8","ENSG00000162654",8.21430994924125,0,"GBP4",7.53843717411941,3.36146765062625e-178,"GBP4","not","sig","GBP4"
"9","ENSG00000188313",3.94667516292276,0,"PLSCR1",3.98949861162314,0,"PLSCR1","not","sig","PLSCR1"
"10","ENSG00000112096",4.86934151893542,3.36917969257069e-296,"SOD2, SOD2-OT1",5.2020483229626,0,"SOD2, SOD2-OT1","not","sig","SOD2, SOD2-OT1"
"11","ENSG00000172183",7.52996059984154,3.7976478940841e-294,"ISG20",7.78591985857755,1.15767927173415e-270,"ISG20","not","sig","ISG20"
"12","ENSG00000163131",6.479202861739,4.42548690829317e-287,"CTSS",6.46519474540595,2.88342986136574e-283,"CTSS","not","sig","CTSS"
"13","ENSG00000107201",4.60638033975088,9.55537311824054e-283,"DDX58",4.59582519648462,5.28113007233642e-256,"DDX58","not","sig","DDX58"
"14","ENSG00000135114",8.38331300918317,6.11657075802351e-281,"OASL",8.35796944356012,1.87355843497975e-264,"OASL","not","sig","OASL"
"15","ENSG00000130775",5.80436092536974,8.17721453413565e-267,"THEMIS2",5.79668857191238,3.99602108073391e-277,"THEMIS2","not","sig","THEMIS2"
"16","ENSG00000135052",2.46954686141978,1.65446976433053e-265,"GOLM1",2.46299568557289,1.35831855162966e-275,"GOLM1","not","sig","GOLM1"
"17","ENSG00000137198",3.72846525006472,2.69341273848197e-256,"GMPR",3.720968693577,9.22179750750613e-257,"GMPR","not","sig","GMPR"
"18","ENSG00000169248",9.87882805380023,3.00255334102707e-254,"CXCL11",9.84410710061388,1.61403493326218e-247,"CXCL11","not","sig","CXCL11"
"19","ENSG00000184979",5.75255424113793,9.93336584073954e-249,"USP18",5.77775911351753,2.69384855262882e-253,"USP18","not","sig","USP18"
"20","ENSG00000169245",9.65175292862061,1.5396847700521e-244,"CXCL10",9.65357348561892,4.32044316561943e-244,"CXCL10","not","sig","CXCL10"
"21","ENSG00000187608",7.10060715978043,8.5953407406163e-239,"ISG15",7.08908101410883,2.86711996533088e-241,"ISG15","not","sig","ISG15"
"22","ENSG00000133106",6.02160599669849,1.63191278544742e-235,"EPSTI1",6.00742890889861,3.39851860519365e-230,"EPSTI1","not","sig","EPSTI1"
"23","ENSG00000138646",7.05761472330699,2.67032209120187e-232,"HERC5",7.03086018985522,1.80253947363251e-231,"HERC5","not","sig","HERC5"
"24","ENSG00000165949",7.36550486595115,7.23026818194771e-230,"IFI27",7.20700683984593,2.460607385115e-211,"IFI27","not","sig","IFI27"
"25","ENSG00000137462",6.68003187561547,3.71979371899014e-226,"TLR2",6.97559444164124,2.92489803723922e-176,"TLR2","not","sig","TLR2"
"26","ENSG00000137965",6.28654628724439,1.87990484923597e-225,"IFI44",6.27255248135923,4.48687675785994e-225,"IFI44","not","sig","IFI44"
"27","ENSG00000138755",9.69454757627589,3.2172454908932e-222,"CXCL9",9.68504336801583,1.33066714857265e-221,"CXCL9","not","sig","CXCL9"
"28","ENSG00000168961",6.13968872486694,2.4188246151638e-212,"LGALS9",6.30343205362708,5.23291713551961e-252,"LGALS9","not","sig","LGALS9"
"29","ENSG00000111331",6.47087778799792,6.83863607787752e-208,"OAS3",6.42929251814259,1.38840216654104e-217,"OAS3","not","sig","OAS3"
"30","ENSG00000101347",3.82302778314016,3.73852825552042e-201,"SAMHD1",3.8305648110072,3.20938352009125e-130,"SAMHD1","not","sig","SAMHD1"
"31","ENSG00000168685",5.32627252106932,2.83103384766403e-198,"IL7R",5.30993599108719,2.60424473419035e-191,"IL7R","not","sig","IL7R"
"32","ENSG00000108700",9.64272146838259,7.80559592345015e-193,"CCL8",9.57862013473042,1.41952779394257e-186,"CCL8","not","sig","CCL8"
"33","ENSG00000106785",4.5396094868255,8.29751319972467e-192,"TRIM14",4.53717531850902,1.75140330977415e-184,"TRIM14","not","sig","TRIM14"
"34","ENSG00000115267",5.70974985080446,1.05112471705301e-189,"IFIH1",5.70134187418192,1.33467710365129e-181,"IFIH1","not","sig","IFIH1"
"35","ENSG00000102524",8.10713052697718,2.68756327032461e-189,"TNFSF13B",7.98110918412994,5.31024640637889e-97,"TNFSF13B","not","sig","TNFSF13B"
"36","ENSG00000146457",2.28222392335085,4.87672892395952e-189,"WTAP",1.93063617316541,9.65970744324514e-103,"WTAP","not","sig","WTAP"
"37","ENSG00000132530",3.98205122715829,2.05505096326205e-186,"XAF1",3.99677044353064,6.01789525554399e-185,"XAF1","not","sig","XAF1"
"38","ENSG00000117226",3.40040139149692,4.56509943304874e-180,"GBP3",4.09766717637322,0,"GBP3","not","sig","GBP3"
"39","ENSG00000135678",3.6768814036532,4.44167012398016e-178,"CPM",3.65352044518683,3.88617107205428e-167,"CPM","not","sig","CPM"
"40","ENSG00000116194",5.38224407599594,8.42563332728986e-178,"ANGPTL1",5.39123789998064,2.31128875968608e-176,"ANGPTL1","not","sig","ANGPTL1"
"41","ENSG00000026950",3.51030534449318,2.95954606105393e-175,"BTN3A1",3.46139757520017,2.50217590824446e-178,"BTN3A1","not","sig","BTN3A1"
"42","ENSG00000172936",2.66292311624851,8.47002960359001e-174,"MYD88",2.65114108597089,7.00428956981728e-167,"MYD88","not","sig","MYD88"
"43","ENSG00000163840",2.92464674636793,4.97614776035258e-166,"DTX3L",2.89272927512607,2.36562145276692e-141,"DTX3L","not","sig","DTX3L"
"44","ENSG00000168394",4.18946104292782,3.47376129168093e-163,"TAP1",4.18657301647613,1.31138101263443e-172,"TAP1","not","sig","TAP1"
"45","ENSG00000137628",4.56698962235389,3.65536923144377e-163,"DDX60",4.55164902594885,2.17470600119824e-154,"DDX60","not","sig","DDX60"
"46","ENSG00000008517",7.18844275510827,1.08547938168632e-161,"IL32",7.44370183067862,5.41162759879731e-178,"IL32","not","sig","IL32"
"47","ENSG00000166920",9.12394267563522,4.17574192197365e-160,"C15orf48",9.15241278381929,5.10979899174076e-153,"C15orf48","not","sig","C15orf48"
"48","ENSG00000125430",2.40465292638732,7.79359646556368e-160,"HS3ST3B1",2.45172522985703,3.66903651330603e-35,"HS3ST3B1","not","sig","HS3ST3B1"
"49","ENSG00000183688",-4.47664241222971,3.58966728918036e-157,"RFLNB",-4.50594210263713,2.44059647762065e-166,"RFLNB","not","sig","RFLNB"
"50","ENSG00000162645",5.06672168898376,3.21309879177847e-156,"GBP2",5.07883009754966,8.58739013625614e-151,"GBP2","not","sig","GBP2"
"51","ENSG00000002549",3.47630679492225,1.44357306952204e-152,"LAP3",3.26315629874453,5.27704551526472e-114,"LAP3","not","sig","LAP3"
"52","ENSG00000173193",3.88902661333276,1.49687501899617e-152,"PARP14",3.87015983394547,1.6359134857296e-143,"PARP14","not","sig","PARP14"
"53","ENSG00000185745",6.02310556830362,4.61788643551554e-152,"IFIT1",5.96851878813204,4.30631451260549e-152,"IFIT1","not","sig","IFIT1"
"54","ENSG00000059378",3.96712753387811,6.23057831753752e-148,"PARP12",3.94956930244599,2.62754062074302e-139,"PARP12","not","sig","PARP12"
"55","ENSG00000197208",3.66647896382872,4.33819267285923e-147,"SLC22A4",3.60521697806965,3.47512542510523e-145,"SLC22A4","not","sig","SLC22A4"
"56","ENSG00000171724",3.51546145214823,1.15574209728844e-144,"VAT1L",3.49878306529412,6.55450388539494e-146,"VAT1L","not","sig","VAT1L"
"57","ENSG00000136514",7.15961449361087,1.58472421607304e-144,"RTP4",6.8476843901537,1.41778822714091e-147,"RTP4","not","sig","RTP4"
"58","ENSG00000239713",5.62747920886872,6.50649628593847e-143,"APOBEC3G",5.84810961468491,5.28722745369825e-113,"APOBEC3G","not","sig","APOBEC3G"
"59","ENSG00000110446",5.23346818751375,1.82252330626556e-141,"SLC15A3",5.23908485196896,2.09483426867938e-137,"SLC15A3","not","sig","SLC15A3"
"60","ENSG00000115271",5.45405945535629,2.06641586775519e-139,"GCA",5.55863015007907,8.05501509737853e-121,"GCA","not","sig","GCA"
"61","ENSG00000003402",2.28249632212913,6.85121244654651e-139,"CFLAR",2.49495284844567,2.06942350455405e-152,"CFLAR","not","sig","CFLAR"
"62","ENSG00000137752",4.05060219282014,2.54848879712092e-138,"CASP1",4.15236123630904,1.82562137994765e-160,"CASP1","not","sig","CASP1"
"63","ENSG00000004468",8.7001027153642,3.31745043261573e-137,"CD38",8.9833329687409,1.40705704670316e-109,"CD38","not","sig","CD38"
"64","ENSG00000104635",2.93895876567326,2.1985645995463e-136,"SLC39A14",2.92550124987177,1.01246356449689e-127,"SLC39A14","not","sig","SLC39A14"
"65","ENSG00000183486",5.43579367795348,1.04002510371396e-135,"MX2",5.44511381804904,5.87188939003722e-138,"MX2","not","sig","MX2"
"66","ENSG00000164342",4.42819516025948,2.34544717729785e-135,"TLR3",4.47682775432319,7.44358386046613e-130,"TLR3","not","sig","TLR3"
"67","ENSG00000157601",6.6254808450742,1.11514527090151e-128,"MX1",6.60939481371183,4.577791311964e-128,"MX1","not","sig","MX1"
"68","ENSG00000116514",2.36544389726401,1.13330899342561e-125,"RNF19B",2.35001613003472,1.82678225715211e-124,"RNF19B","not","sig","RNF19B"
"69","ENSG00000185880",2.21492935954211,3.84877185215166e-125,"TRIM69",1.52176495411518,0.168647452551883,"TRIM69","not","nonsig","TRIM69"
"70","ENSG00000128284",5.27310067450623,3.79720723688971e-124,"APOL3",5.26244202099525,1.9394562309491e-121,"APOL3","not","sig","APOL3"
"71","ENSG00000138035",2.71589451050161,1.46135408642469e-121,"PNPT1",2.73928287009998,1.13896308903141e-121,"PNPT1","not","sig","PNPT1"
"72","ENSG00000160710",2.22313157662602,4.18590840919249e-121,"ADAR",2.20739587010361,5.83229130080055e-112,"ADAR","not","sig","ADAR"
"73","ENSG00000168404",3.07763596155045,4.69124749978882e-120,"MLKL",3.0734444778957,6.29956730992355e-119,"MLKL","not","sig","MLKL"
"74","ENSG00000178234",-1.68148695175538,1.01336142161458e-119,"GALNT11",-1.70475190844638,1.16125876325971e-109,"GALNT11","not","sig","GALNT11"
"75","ENSG00000138760",2.10323475947988,3.20761813963085e-119,"SCARB2",2.08996061697452,2.02381521731168e-112,"SCARB2","not","sig","SCARB2"
"76","ENSG00000135686",-1.95467499865707,1.03478608802204e-118,"KLHL36",-1.15453185149958,3.70692082933937e-27,"KLHL36","different","sig","KLHL36"
"77","ENSG00000136689",5.71383169346309,5.96585926511896e-113,"IL1RN",5.70190717463379,7.07535116024389e-113,"IL1RN","not","sig","IL1RN"
"78","ENSG00000010030",4.66565502388466,1.62452630761318e-112,"ETV7",4.6567503520359,1.94633832695865e-108,"ETV7","not","sig","ETV7"
"79","ENSG00000138496",3.44671384261455,4.88208254434318e-111,"PARP9",3.43557518683521,1.80423277196215e-106,"PARP9","not","sig","PARP9"
"80","ENSG00000169715",5.42267810139222,5.799868148964e-109,"MT1E",5.34934903520718,5.77244744799828e-104,"MT1E","not","sig","MT1E"
"81","ENSG00000204642",4.9193837960338,1.66773307879163e-108,"HLA-F",4.97689060862806,5.80462626902381e-101,"HLA-F","not","sig","HLA-F"
"82","ENSG00000111801",3.66073827894025,1.18584101291665e-107,"BTN3A3",3.65715072475518,1.29905202746838e-104,"BTN3A3","not","sig","BTN3A3"
"83","ENSG00000023445",7.63882845778856,1.6042839788499e-105,"BIRC3",7.60888747588026,1.00753463051177e-104,"BIRC3","not","sig","BIRC3"
"84","ENSG00000141574",5.26270476269946,1.6042839788499e-105,"SECTM1",5.26037969845825,4.04417169293359e-108,"SECTM1","not","sig","SECTM1"
"85","ENSG00000165731",6.9575288112207,1.6042839788499e-105,"RET",7.30647932282769,8.82588160149757e-88,"RET","not","sig","RET"
