"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"1","ENSG00000004468",8.1041068190775,0,"CD38",8.09313503267041,0,"CD38","not","sig","CD38"
"2","ENSG00000059378",4.36088169665012,0,"PARP12",4.3599297490433,0,"PARP12","not","sig","PARP12"
"3","ENSG00000101347",3.98585711484834,0,"SAMHD1",3.93115258515863,2.74995916593657e-276,"SAMHD1","not","sig","SAMHD1"
"4","ENSG00000107201",4.74700279744321,0,"DDX58",4.73820521155081,0,"DDX58","not","sig","DDX58"
"5","ENSG00000111331",8.92826919795383,0,"OAS3",8.94003322553955,0,"OAS3","not","sig","OAS3"
"6","ENSG00000119917",7.39634276056549,0,"IFIT3",7.38648241501436,0,"IFIT3","not","sig","IFIT3"
"7","ENSG00000132530",5.08895036648153,0,"XAF1",5.08067637113494,0,"XAF1","not","sig","XAF1"
"8","ENSG00000134321",9.6265991098382,0,"RSAD2",9.52068842788535,1.01728241712161e-285,"RSAD2","not","sig","RSAD2"
"9","ENSG00000134326",8.07323102908346,0,"CMPK2",8.06297526241489,0,"CMPK2","not","sig","CMPK2"
"10","ENSG00000137965",7.00585642951454,0,"IFI44",6.99181176650044,0,"IFI44","not","sig","IFI44"
"11","ENSG00000138642",9.3325011210384,0,"HERC6",9.31338913335607,0,"HERC6","not","sig","HERC6"
"12","ENSG00000163131",7.19324131682704,0,"CTSS",7.1791083162233,0,"CTSS","not","sig","CTSS"
"13","ENSG00000165949",8.97356362235829,0,"IFI27",9.06881285211347,2.01969415111088e-292,"IFI27","not","sig","IFI27"
"14","ENSG00000184979",6.98104521256647,0,"USP18",6.8535630774572,0,"USP18","not","sig","USP18"
"15","ENSG00000164308",3.78354762193713,1.55799485691947e-295,"ERAP2",3.7747406645657,5.03870494654631e-294,"ERAP2","not","sig","ERAP2"
"16","ENSG00000133106",7.50108496150625,1.17654580903167e-292,"EPSTI1",7.52113646529088,4.41283926642643e-293,"EPSTI1","not","sig","EPSTI1"
"17","ENSG00000185880",2.74377719553261,9.8612215933906e-288,"TRIM69",3.22288805837367,0.000222054599103097,"TRIM69","not","sig","TRIM69"
"18","ENSG00000115267",6.71243959098889,9.36216121014288e-282,"IFIH1",6.70284070732218,1.1002949947664e-278,"IFIH1","not","sig","IFIH1"
"19","ENSG00000119922",7.596530534933,2.91204968928325e-279,"IFIT2",7.58301123572397,1.26399891215216e-276,"IFIT2","not","sig","IFIT2"
"20","ENSG00000110446",5.55416234838329,7.60892125805905e-279,"SLC15A3",5.55952033628312,6.2009592034543e-281,"SLC15A3","not","sig","SLC15A3"
"21","ENSG00000089127",8.94181597851064,1.25800443041301e-276,"OAS1",8.94261115810518,6.81047308738542e-273,"OAS1","not","sig","OAS1"
"22","ENSG00000138496",4.29507273067824,3.01150385806272e-275,"PARP9",4.2896920745203,1.15031621812829e-273,"PARP9","not","sig","PARP9"
"23","ENSG00000135114",9.65400365102932,3.34493851007083e-271,"OASL",9.80051267891697,5.69412714235712e-257,"OASL","not","sig","OASL"
"24","ENSG00000137628",5.30655141808966,1.06396169860227e-258,"DDX60",5.29126655644403,1.89882916045944e-254,"DDX60","not","sig","DDX60"
"25","ENSG00000173193",4.46794574395919,3.29218919585712e-258,"PARP14",4.45316539345021,2.49774626895876e-255,"PARP14","not","sig","PARP14"
"26","ENSG00000002549",3.14045261978506,2.28656641867148e-256,"LAP3",3.12508457154712,7.49936127822822e-253,"LAP3","not","sig","LAP3"
"27","ENSG00000106785",4.40463846109522,4.47121735900094e-244,"TRIM14",4.38654433785165,1.78465041344621e-249,"TRIM14","not","sig","TRIM14"
"28","ENSG00000163840",3.20806725822611,1.77557988156437e-236,"DTX3L",3.18044053724481,5.62109540874887e-227,"DTX3L","not","sig","DTX3L"
"29","ENSG00000121858",9.41260473388961,2.60820684767997e-233,"TNFSF10",9.41094729438062,2.50273640873457e-234,"TNFSF10","not","sig","TNFSF10"
"30","ENSG00000000971",6.71983746537038,4.40761782633467e-230,"CFH",6.58366424492705,4.03976017323998e-227,"CFH","not","sig","CFH"
"31","ENSG00000188313",3.46208946164831,3.22280301786173e-228,"PLSCR1",3.45760307478395,3.06645756059646e-228,"PLSCR1","not","sig","PLSCR1"
