"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"1","ENSG00000119917",7.43508071635601,0,"IFIT3",7.45282871496473,0,"IFIT3","not","sig","IFIT3"
"2","ENSG00000119922",9.20198170248958,0,"IFIT2",9.20763860412074,0,"IFIT2","not","sig","IFIT2"
"3","ENSG00000117228",5.44463501049632,4.11948586001324e-262,"GBP1",5.26948407670448,2.27701217494536e-261,"GBP1","not","sig","GBP1"
"4","ENSG00000121858",9.36971695332143,5.63152800809633e-252,"TNFSF10",9.44367211927651,6.21412494709904e-260,"TNFSF10","not","sig","TNFSF10"
"5","ENSG00000004468",9.04295594289176,6.86571319737361e-242,"CD38",9.09363691233372,2.04560170665015e-194,"CD38","not","sig","CD38"
"6","ENSG00000101347",4.58109038070116,1.03143750177724e-238,"SAMHD1",4.65945238294881,2.30692342425046e-253,"SAMHD1","not","sig","SAMHD1"
"7","ENSG00000134321",9.12241893264803,2.5216169067916e-236,"RSAD2",9.27172501591037,8.56383878484359e-250,"RSAD2","not","sig","RSAD2"
"8","ENSG00000111331",8.43086994307808,3.45455817776042e-231,"OAS3",8.41070519175222,1.0646005274493e-235,"OAS3","not","sig","OAS3"
"9","ENSG00000135114",9.82357672549279,7.74829226792948e-229,"OASL",9.7908094052691,5.18508288077384e-281,"OASL","not","sig","OASL"
"10","ENSG00000168961",9.52134716062688,7.74829226792948e-229,"LGALS9",9.32910452470466,8.89048844191106e-173,"LGALS9","not","sig","LGALS9"
"11","ENSG00000188313",3.79305737831171,3.14532325774884e-209,"PLSCR1",3.7682254869315,3.67665207795006e-210,"PLSCR1","not","sig","PLSCR1"
"12","ENSG00000125347",3.67759179808284,7.30415003578902e-204,"IRF1",3.74304756043671,5.42312499289743e-198,"IRF1","not","sig","IRF1"
"13","ENSG00000138646",8.76458615760404,2.56389441423406e-203,"HERC5",8.74255708863001,6.11952935614506e-209,"HERC5","not","sig","HERC5"
"14","ENSG00000123609",3.70183564787917,4.58716497657138e-202,"NMI",3.80037500074872,6.34433715415866e-230,"NMI","not","sig","NMI"
"15","ENSG00000181381",5.32782221446839,8.1341316344726e-196,"DDX60L",5.21347280143836,3.27356244902207e-210,"DDX60L","not","sig","DDX60L"
"16","ENSG00000173193",4.68642817663873,1.86460489920546e-191,"PARP14",4.69727537256177,9.69559847160205e-192,"PARP14","not","sig","PARP14"
"17","ENSG00000132256",3.62373560952302,5.85082857314362e-188,"TRIM5",3.68164272336788,1.1588198540648e-176,"TRIM5","not","sig","TRIM5"
"18","ENSG00000107201",6.65675947512289,6.64134378897304e-187,"DDX58",6.64160856980548,9.59140565531732e-197,"DDX58","not","sig","DDX58"
"19","ENSG00000116194",6.46529597873232,3.10994097246444e-186,"ANGPTL1",6.46364727875341,2.44020089216152e-182,"ANGPTL1","not","sig","ANGPTL1"
"20","ENSG00000137965",5.56365890932349,3.37025883877316e-185,"IFI44",5.57144642983773,7.50237843118374e-183,"IFI44","not","sig","IFI44"
"21","ENSG00000059378",4.22899389668101,2.17785930934504e-183,"PARP12",4.17737306429308,3.90540892286094e-195,"PARP12","not","sig","PARP12"
"22","ENSG00000003402",2.67165748248497,1.60704258773958e-180,"CFLAR",2.43239149005664,1.96963374064816e-166,"CFLAR","not","sig","CFLAR"
"23","ENSG00000137752",6.29892213642482,4.76885220601383e-180,"CASP1",6.41338422225184,1.25166621472863e-169,"CASP1","not","sig","CASP1"
"24","ENSG00000136689",6.640899179248,6.15166151524289e-178,"IL1RN",6.64312589979389,2.21715023645536e-177,"IL1RN","not","sig","IL1RN"
"25","ENSG00000026950",3.34531181379659,2.52430907852914e-176,"BTN3A1",3.3295253097926,2.51199665072242e-212,"BTN3A1","not","sig","BTN3A1"
"26","ENSG00000172183",7.28952437533379,8.26849188990778e-175,"ISG20",7.07571698288256,6.43625078572e-190,"ISG20","not","sig","ISG20"
"27","ENSG00000166920",6.34206022897426,7.25851031129667e-174,"C15orf48",6.34044990144917,3.13835964514802e-169,"C15orf48","not","sig","C15orf48"
"28","ENSG00000131203",9.97393142057949,5.73468510517766e-172,"IDO1",9.96601527554648,9.17765632603329e-182,"IDO1","not","sig","IDO1"
"29","ENSG00000132274",4.70039425374891,5.28551791425559e-167,"TRIM22",4.69816986021564,1.42809360051008e-168,"TRIM22","not","sig","TRIM22"
"30","ENSG00000130303",8.88180511478628,2.84033486181588e-156,"BST2",8.90832713665283,1.18184918201366e-143,"BST2","not","sig","BST2"
"31","ENSG00000187608",8.83300020369698,5.3062722074079e-154,"ISG15",8.80108579499937,1.49149955019908e-156,"ISG15","not","sig","ISG15"
"32","ENSG00000115415",2.95051808971316,6.39484150918868e-154,"STAT1",2.96057858209511,2.62587476601068e-154,"STAT1","not","sig","STAT1"
"33","ENSG00000115267",6.77269287004158,1.45871479053413e-153,"IFIH1",6.75872363780964,7.49750869433644e-155,"IFIH1","not","sig","IFIH1"
"34","ENSG00000165949",9.17285943097661,5.71893158177935e-150,"IFI27",9.02804537482273,1.10594815100565e-139,"IFI27","not","sig","IFI27"
"35","ENSG00000130589",4.9828099064783,7.26936717755937e-150,"HELZ2",5.00041664062519,1.76595709329741e-133,"HELZ2","not","sig","HELZ2"
"36","ENSG00000164342",4.87008633162261,1.21173331586061e-149,"TLR3",4.79478717654299,4.05729086459665e-152,"TLR3","not","sig","TLR3"
"37","ENSG00000168679",3.75058748561949,6.62029422198048e-148,"SLC16A4",3.78293645326469,9.77046524981027e-137,"SLC16A4","not","sig","SLC16A4"
"38","ENSG00000100226",2.74207218077731,5.34973767522837e-147,"GTPBP1",2.73041917040577,8.17559557386104e-147,"GTPBP1","not","sig","GTPBP1"
"39","ENSG00000132530",6.04309870586862,3.33724920802001e-145,"XAF1",6.10940301643818,7.00845307099049e-159,"XAF1","not","sig","XAF1"
"40","ENSG00000133106",6.23724485028766,1.10441287514996e-144,"EPSTI1",6.23430333182082,5.81631085464215e-146,"EPSTI1","not","sig","EPSTI1"
"41","ENSG00000169245",10.0578429187765,2.32888790325165e-144,"CXCL10",10.0534327439184,1.79789760366624e-148,"CXCL10","not","sig","CXCL10"
"42","ENSG00000168394",4.08518049889936,4.85253486540364e-141,"TAP1",4.08631850532144,1.28603099078309e-125,"TAP1","not","sig","TAP1"
"43","ENSG00000169248",10.1754765073362,1.78932787765549e-137,"CXCL11",10.176948039159,6.96164246483834e-143,"CXCL11","not","sig","CXCL11"
"44","ENSG00000124201",3.053603095825,1.28239191699558e-135,"ZNFX1",3.05123621193961,4.41996738019755e-133,"ZNFX1","not","sig","ZNFX1"
"45","ENSG00000163840",3.18623475814204,1.34259191778931e-132,"DTX3L",3.21466138214336,7.32111172058042e-144,"DTX3L","not","sig","DTX3L"
"46","ENSG00000100342",5.03670291987652,1.80462528852377e-132,"APOL1",4.99925961128563,1.14018254952703e-124,"APOL1","not","sig","APOL1"
"47","ENSG00000137198",4.17364726692928,3.31277936638148e-131,"GMPR",4.18777196324688,4.84908226728036e-120,"GMPR","not","sig","GMPR"
"48","ENSG00000185404",3.12387642822817,4.38146891528402e-131,"SP140L",3.08249612561918,3.31041723397131e-138,"SP140L","not","sig","SP140L"
"49","ENSG00000184979",6.56452606344472,1.56481153030958e-129,"USP18",6.52079273842133,6.10975814303313e-135,"USP18","not","sig","USP18"
"50","ENSG00000131979",6.95486852832484,1.68497062072066e-127,"GCH1",6.27506954237016,5.07277840383103e-134,"GCH1","not","sig","GCH1"
"51","ENSG00000162654",5.53129807571257,1.10914857718802e-125,"GBP4",5.51640317725856,1.34347215544285e-152,"GBP4","not","sig","GBP4"
"52","ENSG00000110446",5.77564368593333,1.15714976064484e-125,"SLC15A3",5.64036567593205,1.28384214144258e-113,"SLC15A3","not","sig","SLC15A3"
"53","ENSG00000173821",3.31016220545257,1.3012145919912e-125,"RNF213",3.31047736424273,4.95305679220619e-123,"RNF213","not","sig","RNF213"
