"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"1","ENSG00000107201",6.06896510244018,0,"DDX58",5.87088654164536,0,"DDX58","not","sig","DDX58"
"2","ENSG00000119917",6.99041374602665,0,"IFIT3",7.04705962450846,0,"IFIT3","not","sig","IFIT3"
"3","ENSG00000134326",6.30239050923603,0,"CMPK2",6.3008907984728,0,"CMPK2","not","sig","CMPK2"
"4","ENSG00000137965",9.25288878528986,0,"IFI44",9.30878193245871,0,"IFI44","not","sig","IFI44"
"5","ENSG00000173193",5.31664075466017,0,"PARP14",5.28939281020299,2.24758009721344e-270,"PARP14","not","sig","PARP14"
"6","ENSG00000119922",6.30524872284298,2.53121101478083e-304,"IFIT2",6.43055007844474,0,"IFIT2","not","sig","IFIT2"
"7","ENSG00000188313",3.57465828850746,1.11236075228094e-295,"PLSCR1",3.64300169817136,0,"PLSCR1","not","sig","PLSCR1"
"8","ENSG00000187608",9.01882870889389,1.55844531162186e-285,"ISG15",9.11311830918208,0,"ISG15","not","sig","ISG15"
"9","ENSG00000157601",7.27642911085346,1.53604716555347e-270,"MX1",7.32221479141757,4.91882272507149e-273,"MX1","not","sig","MX1"
"10","ENSG00000111331",5.03422670988829,2.58423443201399e-268,"OAS3",5.02164299769528,3.58365700357554e-292,"OAS3","not","sig","OAS3"
"11","ENSG00000152778",4.83147607470338,2.51266660386518e-256,"IFIT5",6.8421178391701,0,"IFIT5","not","sig","IFIT5"
"12","ENSG00000133106",6.85359265192659,1.13082082241441e-251,"EPSTI1",6.78195517996427,6.70322324848994e-208,"EPSTI1","not","sig","EPSTI1"
"13","ENSG00000121858",5.45742212534231,6.7950768779849e-241,"TNFSF10",5.25045302425657,7.87822295640121e-231,"TNFSF10","not","sig","TNFSF10"
"14","ENSG00000140464",3.15961471934205,2.21127450030077e-240,"PML",3.24049999713713,1.26725677772548e-169,"PML","not","sig","PML"
"15","ENSG00000183486",7.16116554091939,8.21497694119495e-229,"MX2",7.12628518657699,1.43135279566517e-228,"MX2","not","sig","MX2"
"16","ENSG00000163840",3.66153240104784,1.48360274589752e-227,"DTX3L",3.47404610366624,3.92028382246069e-141,"DTX3L","not","sig","DTX3L"
"17","ENSG00000115267",7.202807830844,2.9484895388248e-227,"IFIH1",7.12383578964731,1.1168263346557e-231,"IFIH1","not","sig","IFIH1"
