"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"1","ENSG00000107201",5.87088654164536,0,"DDX58",6.06896510244018,0,"DDX58","not","sig","DDX58"
"2","ENSG00000119917",7.04705962450846,0,"IFIT3",6.99041374602665,0,"IFIT3","not","sig","IFIT3"
"3","ENSG00000119922",6.43055007844474,0,"IFIT2",6.30524872284298,2.53121101478083e-304,"IFIT2","not","sig","IFIT2"
"4","ENSG00000134326",6.3008907984728,0,"CMPK2",6.30239050923603,0,"CMPK2","not","sig","CMPK2"
"5","ENSG00000137965",9.30878193245871,0,"IFI44",9.25288878528986,0,"IFI44","not","sig","IFI44"
"6","ENSG00000152778",6.8421178391701,0,"IFIT5",4.83147607470338,2.51266660386518e-256,"IFIT5","not","sig","IFIT5"
"7","ENSG00000187608",9.11311830918208,0,"ISG15",9.01882870889389,1.55844531162186e-285,"ISG15","not","sig","ISG15"
"8","ENSG00000188313",3.64300169817136,0,"PLSCR1",3.57465828850746,1.11236075228094e-295,"PLSCR1","not","sig","PLSCR1"
"9","ENSG00000111331",5.02164299769528,3.58365700357554e-292,"OAS3",5.03422670988829,2.58423443201399e-268,"OAS3","not","sig","OAS3"
"10","ENSG00000157601",7.32221479141757,4.91882272507149e-273,"MX1",7.27642911085346,1.53604716555347e-270,"MX1","not","sig","MX1"
"11","ENSG00000173193",5.28939281020299,2.24758009721344e-270,"PARP14",5.31664075466017,0,"PARP14","not","sig","PARP14"
"12","ENSG00000130303",8.66838843572315,3.13312186271676e-246,"BST2",8.50222006046732,3.32254696117218e-191,"BST2","not","sig","BST2"
"13","ENSG00000138646",8.52933905902349,1.06156105753346e-239,"HERC5",8.38775121291386,1.68159301498017e-205,"HERC5","not","sig","HERC5"
"14","ENSG00000128335",7.54576819264273,7.83809575000059e-239,"APOL2",7.14333267843219,1.61576800290755e-212,"APOL2","not","sig","APOL2"
"15","ENSG00000137628",6.87069479790597,1.56209326351104e-236,"DDX60",6.91696259834008,2.3831846588867e-223,"DDX60","not","sig","DDX60"
"16","ENSG00000115267",7.12383578964731,1.1168263346557e-231,"IFIH1",7.202807830844,2.9484895388248e-227,"IFIH1","not","sig","IFIH1"
