"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"1","ENSG00000107201",5.70160738812438,0,"DDX58",5.72751558383885,0,"DDX58","not","sig","DDX58"
"2","ENSG00000119917",6.97511039200656,0,"IFIT3",6.9830155725554,0,"IFIT3","not","sig","IFIT3"
"3","ENSG00000134326",6.88482682002475,0,"CMPK2",6.9020122667214,0,"CMPK2","not","sig","CMPK2"
"4","ENSG00000138642",8.01460146925892,0,"HERC6",8.0090523708311,0,"HERC6","not","sig","HERC6"
"5","ENSG00000188313",3.71835441110263,0,"PLSCR1",3.73576493150374,0,"PLSCR1","not","sig","PLSCR1"
"6","ENSG00000115267",8.57356564154125,1.49698416420548e-291,"IFIH1",8.68824888457883,0,"IFIH1","not","sig","IFIH1"
"7","ENSG00000163131",7.62488484920771,8.38733344125909e-277,"CTSS",7.39455757268275,0,"CTSS","not","sig","CTSS"
"8","ENSG00000134321",7.97533038511485,7.85779797193518e-245,"RSAD2",7.95865347253963,9.36478617551221e-256,"RSAD2","not","sig","RSAD2"
"9","ENSG00000185745",8.15444528337247,3.52820698675237e-223,"IFIT1",8.10771120373308,1.94530182400818e-223,"IFIT1","not","sig","IFIT1"
"10","ENSG00000169245",8.85388196108709,5.80799592499957e-221,"CXCL10",8.82997569482367,1.90883515072739e-227,"CXCL10","not","sig","CXCL10"
"11","ENSG00000111331",5.09300627246369,4.01275842989833e-215,"OAS3",5.06043115496202,2.04319092095408e-277,"OAS3","not","sig","OAS3"
"12","ENSG00000101347",4.23545064639933,2.32659704202958e-211,"SAMHD1",4.22740995024671,2.6660529935855e-216,"SAMHD1","not","sig","SAMHD1"
"13","ENSG00000059378",4.87610554740679,4.27414689881815e-204,"PARP12",4.84353604235015,1.19255367983281e-214,"PARP12","not","sig","PARP12"
"14","ENSG00000177409",7.06047968969641,1.74766098683034e-189,"SAMD9L",7.06650281399331,2.88009839481845e-186,"SAMD9L","not","sig","SAMD9L"
"15","ENSG00000137965",5.47853896975538,5.32898894426892e-189,"IFI44",5.47935310774469,1.15944729731728e-186,"IFI44","not","sig","IFI44"
"16","ENSG00000205413",5.5977766471045,6.25801210250756e-186,"SAMD9",5.57224599779801,5.55398188001298e-191,"SAMD9","not","sig","SAMD9"
"17","ENSG00000168961",6.41549509769875,5.00264941066181e-182,"LGALS9",5.43001390369478,5.75855958633148e-84,"LGALS9","not","sig","LGALS9"
"18","ENSG00000138646",9.09464466703311,9.83578604062844e-181,"HERC5",8.93002474628147,5.05636625467778e-291,"HERC5","not","sig","HERC5"
"19","ENSG00000130303",7.59941241677276,9.84716259195275e-170,"BST2",7.60715176751524,1.43107278743757e-168,"BST2","not","sig","BST2"
"20","ENSG00000157601",7.60776705499475,1.42611736463597e-162,"MX1",7.62617383357908,NA,"MX1","not","nonsig","MX1"
"21","ENSG00000163840",3.60760092443277,5.21928407797954e-160,"DTX3L",3.61959763204563,4.9043508747807e-171,"DTX3L","not","sig","DTX3L"
"22","ENSG00000115415",2.89592843736235,3.48257545603579e-155,"STAT1",2.9072910130742,3.5253932220908e-165,"STAT1","not","sig","STAT1"
