"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"1","ENSG00000105499",7.03553961422649,0,"PLA2G4C",7.06887014027926,4.4692462824001e-297,"PLA2G4C","not","sig","PLA2G4C"
"2","ENSG00000107201",5.84745054273789,0,"DDX58",5.79888883026562,0,"DDX58","not","sig","DDX58"
"3","ENSG00000111331",5.05428381489453,0,"OAS3",5.07019736804008,0,"OAS3","not","sig","OAS3"
"4","ENSG00000119922",7.33314124748502,0,"IFIT2",7.30907575141001,0,"IFIT2","not","sig","IFIT2"
"5","ENSG00000134326",7.53287094497187,0,"CMPK2",7.475883534621,0,"CMPK2","not","sig","CMPK2"
"6","ENSG00000138642",8.88672159864939,0,"HERC6",8.89236274132708,0,"HERC6","not","sig","HERC6"
"7","ENSG00000157601",9.6340798278663,0,"MX1",9.60604021525513,0,"MX1","not","sig","MX1"
"8","ENSG00000173193",5.40632121472741,0,"PARP14",5.38016524748401,0,"PARP14","not","sig","PARP14"
"9","ENSG00000183486",8.84070324463925,0,"MX2",9.05861092145335,0,"MX2","not","sig","MX2"
"10","ENSG00000187608",9.11838936623904,0,"ISG15",9.10890772543209,0,"ISG15","not","sig","ISG15"
"11","ENSG00000059378",4.38418157136151,1.05685525665642e-302,"PARP12",4.36940673963916,7.53763811227197e-298,"PARP12","not","sig","PARP12"
"12","ENSG00000119917",7.31326124994853,4.47498592214835e-301,"IFIT3",7.33933006904255,0,"IFIT3","not","sig","IFIT3"
"13","ENSG00000101347",4.18129055074749,1.0490507331012e-269,"SAMHD1",4.02138531292369,1.603058694893e-244,"SAMHD1","not","sig","SAMHD1"
"14","ENSG00000163840",4.3225223455129,1.11198517903052e-268,"DTX3L",4.28438326132837,2.77395740902535e-262,"DTX3L","not","sig","DTX3L"
"15","ENSG00000128335",5.70528155918321,1.13650557067799e-264,"APOL2",5.77043698051648,5.86766113683666e-276,"APOL2","not","sig","APOL2"
"16","ENSG00000115267",7.49671352188958,1.13924881563922e-262,"IFIH1",7.46973463474425,1.62472103352694e-255,"IFIH1","not","sig","IFIH1"
"17","ENSG00000155363",3.51363803394175,2.22912448602434e-253,"MOV10",3.48534816748365,3.30810389470162e-251,"MOV10","not","sig","MOV10"
"18","ENSG00000134321",8.46660323884896,1.25530009014691e-237,"RSAD2",8.34978124233974,4.53139590273489e-232,"RSAD2","not","sig","RSAD2"
"19","ENSG00000130589",5.65979785744734,1.31603033811931e-235,"HELZ2",5.64035007215423,2.0779995460123e-237,"HELZ2","not","sig","HELZ2"
"20","ENSG00000126709",6.26273956629009,9.74996059073777e-222,"IFI6",6.2771498631328,1.67470453153768e-238,"IFI6","not","sig","IFI6"
"21","ENSG00000137965",7.43918834409379,1.21300297620401e-211,"IFI44",7.35367327579375,9.12815472390037e-217,"IFI44","not","sig","IFI44"
"22","ENSG00000138646",8.8915590396502,5.26918222481095e-206,"HERC5",8.96339182939393,1.85559070877509e-187,"HERC5","not","sig","HERC5"
"23","ENSG00000181381",5.74809605961544,2.87038829153208e-204,"DDX60L",5.67485023650685,6.02338463018645e-201,"DDX60L","not","sig","DDX60L"
"24","ENSG00000154760",4.09342998946268,5.43584276285111e-203,"SLFN13",3.35333087970036,1.93998600676969e-87,"SLFN13","not","sig","SLFN13"
"25","ENSG00000112343",2.62973846122284,8.74479144598125e-203,"TRIM38",2.61266842752482,1.48031297522879e-197,"TRIM38","not","sig","TRIM38"
"26","ENSG00000140464",2.70061404489188,2.92990751030839e-200,"PML",2.84294529767422,4.31880984151399e-200,"PML","not","sig","PML"
"27","ENSG00000138496",4.01986375691155,7.0181637626325e-193,"PARP9",4.06333058640508,6.12955012480648e-192,"PARP9","not","sig","PARP9"
"28","ENSG00000137628",7.90014132424926,6.25249399377995e-189,"DDX60",7.87201064440219,7.4030179930587e-188,"DDX60","not","sig","DDX60"
"29","ENSG00000188313",3.27129128032835,7.77523427779587e-189,"PLSCR1",3.21562306223794,2.15898780518791e-160,"PLSCR1","not","sig","PLSCR1"
"30","ENSG00000089127",9.01991910770172,6.52615215459773e-188,"OAS1",9.10106916021092,5.86574642944627e-149,"OAS1","not","sig","OAS1"
"31","ENSG00000172936",2.85807928685402,9.43094166708978e-185,"MYD88",2.84782441845014,2.56887762334956e-185,"MYD88","not","sig","MYD88"
"32","ENSG00000108771",4.94822371466095,2.61655783332473e-181,"DHX58",4.91766872733143,2.3401776727559e-185,"DHX58","not","sig","DHX58"
"33","ENSG00000173821",3.97170295582595,2.97895340178674e-175,"RNF213",3.93169483571655,4.52426473324474e-170,"RNF213","not","sig","RNF213"
"34","ENSG00000163131",4.47104509311261,2.07582087324366e-171,"CTSS",4.5323225417276,3.14989694674588e-178,"CTSS","not","sig","CTSS"
"35","ENSG00000106785",3.37291281560995,3.05648434990735e-164,"TRIM14",3.37354880912747,5.59509489583863e-157,"TRIM14","not","sig","TRIM14"
"36","ENSG00000170581",2.92298598681584,1.37841620252173e-162,"STAT2",2.86964038013102,1.11797273202671e-157,"STAT2","not","sig","STAT2"
"37","ENSG00000117226",5.18422056416517,1.76608648037578e-162,"GBP3",5.78233877952285,3.24431612110503e-152,"GBP3","not","sig","GBP3"
"38","ENSG00000164308",4.92943127571812,2.35874430731384e-161,"ERAP2",4.93990238817136,1.61576729364808e-132,"ERAP2","not","sig","ERAP2"
"39","ENSG00000164342",5.15473478812092,1.5738811315904e-156,"TLR3",5.17758286550072,3.36549891375653e-168,"TLR3","not","sig","TLR3"
"40","ENSG00000152778",5.98689086418868,2.42121584000786e-155,"IFIT5",7.47879630450912,7.45180314430905e-234,"IFIT5","not","sig","IFIT5"
"41","ENSG00000002549",2.39884220971893,3.00827347938832e-155,"LAP3",2.52748158694982,4.86863762684856e-170,"LAP3","not","sig","LAP3"
"42","ENSG00000133106",6.02705958052311,2.9372105602105e-152,"EPSTI1",6.33313861025392,1.72352568472409e-148,"EPSTI1","not","sig","EPSTI1"
"43","ENSG00000110446",5.65396198989466,4.27845668433575e-144,"SLC15A3",5.65017821979512,1.50296727018897e-141,"SLC15A3","not","sig","SLC15A3"
"44","ENSG00000135114",8.91036042326805,7.37635978525204e-144,"OASL",8.79156142721159,3.21766096822637e-153,"OASL","not","sig","OASL"
"45","ENSG00000111335",7.71188966921459,1.57761623118487e-141,"OAS2",7.73424096768658,3.82976883862696e-141,"OAS2","not","sig","OAS2"
"46","ENSG00000137959",7.93439284323183,6.40215601762805e-141,"IFI44L",7.87820768941519,1.83828541776968e-146,"IFI44L","not","sig","IFI44L"
"47","ENSG00000132109",4.0848281511551,4.43108554044566e-140,"TRIM21",4.06028919377207,1.39066012206633e-140,"TRIM21","not","sig","TRIM21"
