"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"1","ENSG00000107201",5.42036585787619,0,"DDX58",5.57918256604011,0,"DDX58","not","sig","DDX58"
"2","ENSG00000111331",4.0970709874424,0,"OAS3",4.10586109818572,0,"OAS3","not","sig","OAS3"
"3","ENSG00000119917",6.78948645261486,0,"IFIT3",6.76675148487609,0,"IFIT3","not","sig","IFIT3"
"4","ENSG00000137628",7.32786163844938,0,"DDX60",7.3925938213936,0,"DDX60","not","sig","DDX60"
"5","ENSG00000137965",7.60931262081768,0,"IFI44",7.56574942228696,0,"IFI44","not","sig","IFI44"
"6","ENSG00000138642",8.29871840631928,0,"HERC6",8.24999960329774,0,"HERC6","not","sig","HERC6"
"7","ENSG00000157601",9.29392819743911,0,"MX1",9.29643058743026,0,"MX1","not","sig","MX1"
"8","ENSG00000183486",9.48457410119556,0,"MX2",9.3577936060383,7.84147023773811e-303,"MX2","not","sig","MX2"
"9","ENSG00000187608",8.50104129271791,0,"ISG15",8.55026673492128,0,"ISG15","not","sig","ISG15"
"10","ENSG00000119922",6.40089090374074,9.0668269258381e-290,"IFIT2",6.38574642268542,7.75921704090577e-294,"IFIT2","not","sig","IFIT2"
"11","ENSG00000128335",5.13902800282037,3.15123677812414e-289,"APOL2",5.21933524944859,1.14959009284811e-235,"APOL2","not","sig","APOL2"
"12","ENSG00000185745",9.12904956212199,1.06661358731047e-279,"IFIT1",9.28032306430009,3.1739183428771e-209,"IFIT1","not","sig","IFIT1"
"13","ENSG00000137959",9.27647780657559,6.77931911671127e-257,"IFI44L",9.29618021053084,1.61245165463346e-287,"IFI44L","not","sig","IFI44L"
"14","ENSG00000115267",5.92547826790034,1.80354365042081e-238,"IFIH1",5.93640839201881,2.04840099885621e-243,"IFIH1","not","sig","IFIH1"
"15","ENSG00000134326",7.27953810846749,7.44575441856984e-220,"CMPK2",7.25341077552376,1.28206732381621e-220,"CMPK2","not","sig","CMPK2"
"16","ENSG00000132530",8.43393900577879,1.93552623600633e-203,"XAF1",8.06488676057007,1.90687679095395e-135,"XAF1","not","sig","XAF1"
"17","ENSG00000173193",4.06701327882129,2.08208764872483e-198,"PARP14",4.09620747876742,3.41518679348958e-211,"PARP14","not","sig","PARP14"
"18","ENSG00000111335",8.02862586502216,9.17382878149567e-173,"OAS2",8.0062291308428,3.66920324001724e-167,"OAS2","not","sig","OAS2"
"19","ENSG00000126709",6.04693216658208,1.26378251216521e-169,"IFI6",5.94410841893456,6.1939523302593e-208,"IFI6","not","sig","IFI6"
"20","ENSG00000133106",5.03539076688448,1.32842915171201e-169,"EPSTI1",4.92638018482491,2.41995651566827e-187,"EPSTI1","not","sig","EPSTI1"
"21","ENSG00000117228",4.15837789094101,2.1614441365465e-165,"GBP1",3.93895695059652,1.3385286407823e-166,"GBP1","not","sig","GBP1"
"22","ENSG00000188313",2.776763533144,3.82946781989658e-164,"PLSCR1",2.76830675234483,4.07412678413391e-191,"PLSCR1","not","sig","PLSCR1"
"23","ENSG00000130589",4.73288216491165,6.94386725982539e-158,"HELZ2",4.7546803064871,4.64011357396817e-156,"HELZ2","not","sig","HELZ2"
"24","ENSG00000138496",3.40655945040249,3.56822176136562e-145,"PARP9",3.37656304067827,4.86676631158457e-147,"PARP9","not","sig","PARP9"
"25","ENSG00000140464",2.26496518106422,2.53812417502815e-137,"PML",2.28681855944665,8.63305604988324e-155,"PML","not","sig","PML"
"26","ENSG00000101347",3.19750299798568,8.12242092891945e-137,"SAMHD1",3.25622905984043,4.03625358965969e-146,"SAMHD1","not","sig","SAMHD1"
"27","ENSG00000106785",3.14808653092112,1.43890257566724e-133,"TRIM14",3.09722114561678,2.3615300918787e-139,"TRIM14","not","sig","TRIM14"
"28","ENSG00000173821",3.19152315646109,4.55406853234011e-132,"RNF213",3.19803610246059,7.18770727380835e-134,"RNF213","not","sig","RNF213"
"29","ENSG00000154760",3.66879909433842,9.80039318179275e-131,"SLFN13",3.59745827493671,1.52718768373299e-113,"SLFN13","not","sig","SLFN13"
"30","ENSG00000135114",9.46137281902146,1.63490705232034e-128,"OASL",9.5794291099942,2.74906258484632e-112,"OASL","not","sig","OASL"
"31","ENSG00000110446",3.79174984835336,3.27944122689021e-128,"SLC15A3",3.79154671423985,2.96048637308092e-127,"SLC15A3","not","sig","SLC15A3"
"32","ENSG00000137200",1.45019380541347,7.05238531081458e-123,"CMTR1",1.45635903686121,1.23630065475354e-124,"CMTR1","not","sig","CMTR1"
"33","ENSG00000163840",3.27888464827935,3.93126293408904e-117,"DTX3L",3.45489700648011,5.61896787513024e-218,"DTX3L","not","sig","DTX3L"
"34","ENSG00000059378",2.37301280739155,7.02182633699211e-116,"PARP12",2.33246623557221,2.46879739152439e-107,"PARP12","not","sig","PARP12"
"35","ENSG00000089127",8.91207878852763,1.05064150186546e-115,"OAS1",8.95099052001981,1.59595598030181e-107,"OAS1","not","sig","OAS1"
"36","ENSG00000181381",3.88089961173813,1.08316722259449e-111,"DDX60L",3.93945508006752,4.4067115353861e-119,"DDX60L","not","sig","DDX60L"
"37","ENSG00000134321",7.26602743519352,7.74213736423924e-110,"RSAD2",7.22778865282992,7.29999458248631e-126,"RSAD2","not","sig","RSAD2"
"38","ENSG00000152778",4.29393762426425,4.7661539142462e-106,"IFIT5",4.37521072709291,4.91641124685705e-98,"IFIT5","not","sig","IFIT5"
"39","ENSG00000108771",3.61766934658836,3.34303526013711e-105,"DHX58",3.62512058005846,1.63493415567294e-106,"DHX58","not","sig","DHX58"
"40","ENSG00000170581",2.28991690617348,5.3477936366866e-105,"STAT2",2.28585456990817,2.7335036019112e-106,"STAT2","not","sig","STAT2"
"41","ENSG00000105499",5.25929167958551,1.52504159666167e-101,"PLA2G4C",5.33048470523852,1.81375893084404e-109,"PLA2G4C","not","sig","PLA2G4C"
"42","ENSG00000138646",9.63866287615051,2.21806707572245e-98,"HERC5",9.59992279362731,4.88905306501935e-103,"HERC5","not","sig","HERC5"
"43","ENSG00000205413",5.74787583732258,8.21662171860085e-93,"SAMD9",5.71637922379533,2.48439727563331e-91,"SAMD9","not","sig","SAMD9"
"44","ENSG00000055332",2.69587965952677,3.12964496564031e-91,"EIF2AK2",2.86306222722799,5.07471046451703e-109,"EIF2AK2","not","sig","EIF2AK2"
"45","ENSG00000164342",4.00558255291512,4.48494541508749e-89,"TLR3",3.94404059544811,6.9679854112256e-90,"TLR3","not","sig","TLR3"
"46","ENSG00000123609",2.36415826324474,1.30931913051211e-88,"NMI",2.3728799195832,7.6475570222229e-89,"NMI","not","sig","NMI"
"47","ENSG00000067066",2.21592231549055,4.94668148711434e-87,"SP100",2.32887969866491,1.19216375023139e-95,"SP100","not","sig","SP100"
"48","ENSG00000132109",2.90079135097947,6.51737880924218e-87,"TRIM21",2.91470420219367,2.90958864546273e-86,"TRIM21","not","sig","TRIM21"
"49","ENSG00000108679",3.19434546640852,4.46907638835318e-85,"LGALS3BP",3.21018993439864,1.61751542068141e-87,"LGALS3BP","not","sig","LGALS3BP"
"50","ENSG00000130303",6.62669528479167,1.59145564423949e-84,"BST2",6.38456939625575,2.39643111403249e-56,"BST2","not","sig","BST2"
"51","ENSG00000140853",2.32611985724953,9.6896087508969e-83,"NLRC5",2.29703005795924,1.10366723903238e-78,"NLRC5","not","sig","NLRC5"
"52","ENSG00000160710",1.58199157412657,1.13269758524765e-77,"ADAR",1.62297467787544,3.3515018406483e-82,"ADAR","not","sig","ADAR"
"53","ENSG00000172936",1.77970865252545,2.88198948171921e-76,"MYD88",1.78230893456608,2.09286675510447e-74,"MYD88","not","sig","MYD88"
"54","ENSG00000177409",4.3195618503106,7.37159396344608e-76,"SAMD9L",4.31232925891537,7.49678919334706e-75,"SAMD9L","not","sig","SAMD9L"
"55","ENSG00000135899",2.95551462521985,4.67156792803978e-74,"SP110",2.97149851308106,1.51308754378412e-68,"SP110","not","sig","SP110"
"56","ENSG00000166750",2.90863634522726,1.85330002754945e-73,"SLFN5",2.90150719167897,2.09457293693054e-72,"SLFN5","not","sig","SLFN5"
"57","ENSG00000122729",-2.51317342525352,2.05341619791831e-65,"ACO1",-2.57323094121013,9.77312900310778e-70,"ACO1","not","sig","ACO1"
"58","ENSG00000124201",1.95297132810256,1.22769137398014e-64,"ZNFX1",2.02008052679658,6.86881044999128e-73,"ZNFX1","not","sig","ZNFX1"
"59","ENSG00000204264",2.84823267839358,2.66880712671524e-63,"PSMB8",2.91097340342869,1.00524747263732e-73,"PSMB8","not","sig","PSMB8"
"60","ENSG00000185507",8.33232573494675,7.26062682308859e-63,"IRF7",9.09230265956125,1.79507272998995e-53,"IRF7","not","sig","IRF7"
"61","ENSG00000196116",1.99894871736303,8.08308229385677e-59,"TDRD7",2.00509545207337,6.5934643249227e-60,"TDRD7","not","sig","TDRD7"
"62","ENSG00000172183",3.31773572483652,5.66314318194108e-57,"ISG20",3.24616021433982,4.6926623194166e-57,"ISG20","not","sig","ISG20"
"63","ENSG00000156587",4.55177807607135,3.8897888427869e-56,"UBE2L6",4.50113070781743,2.18072751146319e-46,"UBE2L6","not","sig","UBE2L6"
"64","ENSG00000112343",1.52176439540242,6.22475720469074e-55,"TRIM38",1.53908414029416,7.14842832247515e-50,"TRIM38","not","sig","TRIM38"
"65","ENSG00000132274",2.11669572507559,1.121109697465e-54,"TRIM22",2.13911732011111,7.1284698242349e-56,"TRIM22","not","sig","TRIM22"
"66","ENSG00000165949",8.36493427731887,1.47254541681894e-54,"IFI27",8.59533332076273,4.9138716580596e-53,"IFI27","not","sig","IFI27"
