"","X","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","differs","significance","SYMBOL"
"1","ENSG00000101347",5.04371009871528,0,"SAMHD1",5.0188177290469,0,"SAMHD1","not","sig","SAMHD1"
"2","ENSG00000107201",5.63747388009676,0,"DDX58",5.63681974311551,0,"DDX58","not","sig","DDX58"
"3","ENSG00000111331",7.9180358155841,0,"OAS3",8.00998411055747,0,"OAS3","not","sig","OAS3"
"4","ENSG00000115415",3.78502055554704,0,"STAT1",3.7699408239532,0,"STAT1","not","sig","STAT1"
"5","ENSG00000117228",6.4318556951944,0,"GBP1",6.2573736314736,0,"GBP1","not","sig","GBP1"
"6","ENSG00000119917",8.78695325509351,0,"IFIT3",8.82913571922844,0,"IFIT3","not","sig","IFIT3"
"7","ENSG00000119922",7.74006735386744,0,"IFIT2",7.76261724481309,0,"IFIT2","not","sig","IFIT2"
"8","ENSG00000132274",6.88606520045146,0,"TRIM22",7.2223760441826,1.41602631916035e-244,"TRIM22","not","sig","TRIM22"
"9","ENSG00000165731",9.18195557860664,0,"RET",9.24929818281804,0,"RET","not","sig","RET"
"10","ENSG00000134326",7.30783627788737,1.30705019090592e-299,"CMPK2",7.15043405038087,0,"CMPK2","not","sig","CMPK2"
"11","ENSG00000115267",8.15757507842367,1.50689973539553e-293,"IFIH1",8.14779399037123,1.27448882024819e-291,"IFIH1","not","sig","IFIH1"
"12","ENSG00000162692",10.0444144264048,4.46940334173401e-291,"VCAM1",9.94226687543129,1.68414095547486e-296,"VCAM1","not","sig","VCAM1"
"13","ENSG00000132109",5.41601749452562,1.45179228166043e-290,"TRIM21",5.32407753713459,1.19088670910505e-287,"TRIM21","not","sig","TRIM21"
"14","ENSG00000125347",4.88850706151952,4.12889730877786e-277,"IRF1",4.85217541478152,2.01336372414678e-274,"IRF1","not","sig","IRF1"
"15","ENSG00000172936",3.5118334964165,7.73006225261434e-274,"MYD88",3.52272908552692,4.46045434097329e-255,"MYD88","not","sig","MYD88"
"16","ENSG00000013374",4.0813349771496,4.13043986393663e-268,"NUB1",4.05649406935539,5.07629239127779e-264,"NUB1","not","sig","NUB1"
"17","ENSG00000100226",3.03704021875935,2.60789324724621e-266,"GTPBP1",2.9529014391142,2.96380278668671e-239,"GTPBP1","not","sig","GTPBP1"
"18","ENSG00000168404",4.83082274012647,1.41669717113337e-264,"MLKL",4.81157905417792,7.82465863548241e-287,"MLKL","not","sig","MLKL"
"19","ENSG00000134321",9.64062621614388,7.98189580290813e-262,"RSAD2",9.87578336338023,1.69492119527835e-266,"RSAD2","not","sig","RSAD2"
"20","ENSG00000137628",5.0878115087987,6.06846352912655e-249,"DDX60",5.09542951958641,2.71929668175152e-244,"DDX60","not","sig","DDX60"
"21","ENSG00000188313",4.18155041241621,2.89590318969484e-247,"PLSCR1",4.09875841448204,5.15151566202485e-249,"PLSCR1","not","sig","PLSCR1"
"22","ENSG00000183486",7.97844179319357,2.72165818689895e-244,"MX2",7.64136950299863,1.75431471582505e-261,"MX2","not","sig","MX2"
"23","ENSG00000185215",6.48586825709343,8.01231735536096e-244,"TNFAIP2",6.52759260155368,2.00177905431684e-242,"TNFAIP2","not","sig","TNFAIP2"
"24","ENSG00000123609",3.73889359291156,1.85248240950558e-239,"NMI",3.72405830963604,2.70236177365691e-214,"NMI","not","sig","NMI"
"25","ENSG00000138642",8.62714360426908,4.01341624663021e-237,"HERC6",8.64314481448936,7.50673882652433e-244,"HERC6","not","sig","HERC6"
"26","ENSG00000163840",4.24024196254947,9.55674946338916e-237,"DTX3L",4.28364392676165,3.32682102825842e-236,"DTX3L","not","sig","DTX3L"
"27","ENSG00000133401",7.54321888930147,1.963071227082e-234,"PDZD2",7.70942083820741,1.11995934101687e-258,"PDZD2","not","sig","PDZD2"
"28","ENSG00000181381",5.02125886185661,3.9776214412376e-221,"DDX60L",5.05198323050227,1.1624337299876e-213,"DDX60L","not","sig","DDX60L"
"29","ENSG00000234127",4.21512683841915,2.26909051104288e-220,"TRIM26",4.23652662891205,1.36988685751323e-244,"TRIM26","not","sig","TRIM26"
"30","ENSG00000100225",3.27856599055194,8.30526167963445e-218,"FBXO7",3.25021905370849,3.87747221871787e-222,"FBXO7","not","sig","FBXO7"
"31","ENSG00000213512",5.27521758681612,2.56149590080385e-217,"GBP7",4.50759274900576,3.21422879215254e-16,"GBP7","not","sig","GBP7"
"32","ENSG00000162654",5.32292901067476,2.60768813477164e-214,"GBP4",5.27933771261427,3.4721989244927e-203,"GBP4","not","sig","GBP4"
"33","ENSG00000130589",6.89678559794323,2.73260576011425e-214,"HELZ2",6.96082898406718,1.0597323399169e-235,"HELZ2","not","sig","HELZ2"
"34","ENSG00000168016",4.43409334045091,4.86028768901993e-211,"TRANK1",4.44734121653083,5.64912376900041e-219,"TRANK1","not","sig","TRANK1"
"35","ENSG00000133106",9.76770436974623,3.19729370018028e-202,"EPSTI1",9.85078282635083,3.58018351011691e-291,"EPSTI1","not","sig","EPSTI1"
"36","ENSG00000184371",5.08071622299891,1.41722933305114e-180,"CSF1",5.11873053704688,1.54510954308233e-191,"CSF1","not","sig","CSF1"
"37","ENSG00000056558",8.29226871413513,2.4485339258737e-180,"TRAF1",8.40866595559998,1.84530238485613e-132,"TRAF1","not","sig","TRAF1"
"38","ENSG00000170581",3.56572390727917,3.26663309065837e-179,"STAT2",3.62547556256152,3.86253759535526e-182,"STAT2","not","sig","STAT2"
"39","ENSG00000196116",3.87756270621377,2.582350917517e-178,"TDRD7",3.85687969188667,3.02741855807846e-173,"TDRD7","not","sig","TDRD7"
"40","ENSG00000140464",3.05907150697101,3.6261433309845e-169,"PML",3.07817581060708,4.8844835147742e-164,"PML","not","sig","PML"
"41","ENSG00000155363",3.13869917378817,4.5157886250189e-165,"MOV10",3.13028550157843,8.14615818887536e-163,"MOV10","not","sig","MOV10"
"42","ENSG00000108679",4.62217968559488,7.80192635173063e-164,"LGALS3BP",4.62538648270252,3.91048742862719e-167,"LGALS3BP","not","sig","LGALS3BP"
"43","ENSG00000135114",9.57939479452997,9.52405662616396e-160,"OASL",9.78874937508538,4.5016157476318e-161,"OASL","not","sig","OASL"
"44","ENSG00000135821",2.71942452995586,1.71554114266656e-156,"GLUL",2.7312052839433,1.28732590591613e-159,"GLUL","not","sig","GLUL"
"45","ENSG00000138646",8.93964583935649,5.49376120628085e-154,"HERC5",8.72963487430769,1.74788530155293e-203,"HERC5","not","sig","HERC5"
"46","ENSG00000168394",5.01786118528758,1.86973706748541e-152,"TAP1",5.062545568882,3.45460647756161e-152,"TAP1","not","sig","TAP1"
"47","ENSG00000125818",2.39087051180458,2.21963239458668e-151,"PSMF1",2.34550596573997,3.84762625711899e-154,"PSMF1","not","sig","PSMF1"
"48","ENSG00000163131",5.71567927801746,6.04195794889181e-150,"CTSS",5.69391463139275,7.67820389660629e-153,"CTSS","not","sig","CTSS"
"49","ENSG00000132530",6.82487051374223,1.67147315898521e-149,"XAF1",7.67115040805044,1.36603206894193e-243,"XAF1","not","sig","XAF1"
"50","ENSG00000104312",4.29522125574357,3.73944639146362e-148,"RIPK2",4.30072689264084,2.03967992614327e-145,"RIPK2","not","sig","RIPK2"
"51","ENSG00000104635",2.78891229533167,1.64457699062685e-144,"SLC39A14",2.74821158383705,1.4841466076001e-139,"SLC39A14","not","sig","SLC39A14"
"52","ENSG00000185745",8.04616470171535,5.71077113387942e-144,"IFIT1",8.037205115441,NA,"IFIT1","not","nonsig","IFIT1"
"53","ENSG00000138496",3.54034606976571,2.3439983452934e-143,"PARP9",3.51998746848945,1.04166391851377e-140,"PARP9","not","sig","PARP9"
"54","ENSG00000102524",9.04125014330391,8.89343894688583e-143,"TNFSF13B",9.20025876425475,1.69027006908267e-156,"TNFSF13B","not","sig","TNFSF13B"
"55","ENSG00000118503",6.21534744818455,1.20967617365038e-140,"TNFAIP3",6.18579457857454,3.46061389600729e-140,"TNFAIP3","not","sig","TNFAIP3"
"56","ENSG00000182326",4.18712531068923,1.51284604396849e-138,"C1S",4.16648646986368,1.2141960974532e-142,"C1S","not","sig","C1S"
"57","ENSG00000121060",3.30727287867883,1.97277315442505e-137,"TRIM25",3.3327847416219,8.23397904691336e-125,"TRIM25","not","sig","TRIM25"
"58","ENSG00000204264",7.1295674356645,5.47676016208035e-137,"PSMB8",7.0655500902553,7.28193758112545e-146,"PSMB8","not","sig","PSMB8"
"59","ENSG00000108771",5.88234809775189,8.95186250650659e-135,"DHX58",5.80745938694309,2.49627752778415e-141,"DHX58","not","sig","DHX58"
"60","ENSG00000140853",5.27506643286738,4.73353609356451e-133,"NLRC5",5.24469649848083,5.12057300516149e-143,"NLRC5","not","sig","NLRC5"
"61","ENSG00000152495",5.04074050470548,1.42495964288182e-131,"CAMK4",5.49668280984707,5.04578948686607e-114,"CAMK4","not","sig","CAMK4"
"62","ENSG00000028137",3.28912768758599,2.56467431112336e-131,"TNFRSF1B",3.33598774950138,4.1634352276165e-147,"TNFRSF1B","not","sig","TNFRSF1B"
"63","ENSG00000172183",7.07441108082768,6.67076600232783e-131,"ISG20",7.27818216957855,1.30863330302488e-127,"ISG20","not","sig","ISG20"
"64","ENSG00000154451",9.90685353865908,4.36327787921272e-130,"GBP5",9.89258969312564,3.39707641159359e-130,"GBP5","not","sig","GBP5"
"65","ENSG00000184584",4.22096826042677,2.7487652641215e-129,"TMEM173",4.20747590805466,3.22687330179061e-127,"TMEM173","not","sig","TMEM173"
"66","ENSG00000173193",3.96382762743905,4.0673133879106e-128,"PARP14",3.97414528883166,1.32586771217525e-128,"PARP14","not","sig","PARP14"
"67","ENSG00000136048",4.23187960014411,2.80171962360322e-127,"DRAM1",4.4603426882791,6.26190663416588e-101,"DRAM1","not","sig","DRAM1"
